solver,split,benchType,nodes,dims,build,max-depth,ave-depth
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,3.13617,28.0,25.52565
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,2.78364,27.0,25.4646
orth,Rot/SpaMid,uniform_bigint,1000M,2,2.46584,14.0,13.0001
kdtree,MaxStr/Obj,uniform_bigint,1000M,3,3.68295,28.0,25.5267
kdtree,Rot/SpaMid,uniform_bigint,1000M,3,3.34443,27.0,25.46465
orth,Rot/SpaMid,uniform_bigint,1000M,3,3.3392,9.0,8.99999
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,4.53146,28.0,25.52375
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,7.10989,50.5,41.9807
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,6.67534,25.5,21.41915
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,3,6.22859,28.0,25.5253
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,3,12.86865,73.5,59.84405
orth,Rot/SpaMid,ss_varden_bigint,1000M,3,13.39335,25.0,20.825
