solver,benchType,nodes,dims,S,M,L
kdtree,ss_varden,100M,2,0.00021,0.00137,0.0121
orth,ss_varden,100M,2,0.00022,0.0015,0.01286
kdtree,ss_varden,1000M,2,0.00034,0.00446,0.0431
orth,ss_varden,1000M,2,0.00101,0.00394,0.03151
kdtree,uniform,100M,2,0.0002,0.00095,0.01343
orth,uniform,100M,2,0.00023,0.00095,0.01166
kdtree,uniform,1000M,2,0.00067,0.00341,0.03708
orth,uniform,1000M,2,0.00081,0.00359,0.02959
kdtree,ss_varden,100M,3,0.00055,0.00578,0.1158
orth,ss_varden,100M,3,0.00036,0.00487,0.07975
kdtree,ss_varden,1000M,3,0.00159,0.01877,0.2611
orth,ss_varden,1000M,3,0.00145,0.01596,0.22737
kdtree,uniform,100M,3,0.00281,0.01559,0.13835
orth,uniform,100M,3,0.00279,0.0189,0.13295
kdtree,uniform,1000M,3,0.00055,0.00848,0.30719
orth,uniform,1000M,3,0.00054,0.01044,0.27887
