solver,split,benchType,nodes,dims,time,vis,gen,full,skip,time,vis,gen,full,skip,time,vis,gen,full,skip
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,0.00052,38.5,34.0,0.0,30.0,0.00393,170.0,122.0,7.0,67.0,0.11766,2023.0,1416.5,350.0,460.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,0.00057,36.5,32.5,0.0,29.5,0.00374,175.5,124.5,7.0,68.0,0.12019,2014.0,1402.5,339.5,452.0
orth,Rot/SpaMid,uniform_bigint,1000M,2,0.0005,40.0,34.5,0.0,30.0,0.00377,218.0,157.0,12.0,85.0,0.10308,2530.5,1790.0,465.5,584.0
kdtree,MaxStr/Obj,uniform_bigint,1000M,3,0.00072,42.5,37.0,0.0,32.5,0.02178,583.5,390.0,2.5,194.5,1.52807,11448.0,7081.0,698.5,2016.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,3,0.00077,44.0,38.0,0.0,33.0,0.02641,656.5,428.0,1.5,197.5,1.63132,11733.0,7156.0,647.0,1932.5
orth,Rot/SpaMid,uniform_bigint,1000M,3,0.00081,57.0,48.5,0.0,40.5,0.02765,1270.0,875.0,16.0,466.0,1.61235,25081.5,15791.5,2024.0,4478.5
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,0.00038,29.0,27.0,0.0,26.0,0.00164,84.0,63.5,8.0,37.0,0.01641,567.0,453.5,169.0,171.0
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00053,45.5,43.5,0.0,42.0,0.00189,113.0,88.5,7.5,57.0,0.01251,579.0,416.0,102.5,151.0
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00051,46.0,44.0,0.0,43.0,0.00193,122.0,95.5,9.5,59.5,0.01111,594.5,429.0,108.0,156.5
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,3,0.00053,31.5,28.5,0.0,27.5,0.00487,160.5,111.0,8.0,54.5,0.15855,2195.0,1588.0,548.5,432.5
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,3,0.00064,56.5,53.5,0.0,52.0,0.00488,245.5,178.0,6.5,104.0,0.06084,2231.5,1431.0,244.0,386.5
orth,Rot/SpaMid,ss_varden_bigint,1000M,3,0.00071,60.0,56.5,0.0,53.5,0.00567,333.5,234.0,16.0,119.0,0.04753,2450.0,1583.0,289.5,427.0
