benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,S,M,L,S,M,L
Uniform_by_x,PTree,1.0,3.28714,3.28714,3.28714,3.28714,3.28714,0.459385,0.877761,2.55717,0.226633,0.660108,2.55772,1.14851,2.08864,5.27853,0.234457,0.616963,2.36995,0.000401333,0.00379633,0.157627,0.000657333,0.00963033,1.19842
Uniform_by_x,PTree,0.1,0.232635,0.232151,0.230058,0.233638,2.32152,0.466289,0.86751,2.59916,0.242953,0.689141,2.51445,1.16374,2.13368,5.7565,0.255894,0.648296,2.34115,0.000409,0.003932,0.160928,0.000653,0.00987633,1.19397
Uniform_by_x,PTree,0.01,0.0248217,0.0250266,0.024439,0.0271673,2.50271,0.494493,0.891325,2.63809,0.253822,0.71935,2.60031,1.16275,2.13037,5.87981,0.266412,0.677507,2.41627,0.000387333,0.00410733,0.163779,0.000647333,0.00999267,1.21585
Uniform_by_x,PTree,0.001,0.00317667,0.00323232,0.00291567,0.00831667,3.23282,0.510415,0.931785,2.72832,0.277508,0.784517,2.77666,1.21105,2.19543,5.90175,0.294442,0.738332,2.60294,0.000413667,0.00439667,0.158092,0.000632,0.0100427,1.25677
Uniform_by_x,PTree,0.0001,0.00083,0.000836642,0.000576333,0.00449867,8.37139,0.514189,0.941014,2.74379,0.274357,0.765803,2.72308,1.21326,2.20009,5.85653,0.287723,0.723242,2.54029,0.000402667,0.004479,0.159205,0.00064,0.0101337,1.25937
Uniform_by_x,KdTree,1.0,5.02894,5.02894,5.02894,5.02894,5.02894,0.1132,0.242955,0.984213,0.0978227,0.435309,2.09333,0.222967,0.397813,1.30476,0.0973913,0.392434,1.77234,0.000356,0.00465433,0.093648,0.000405667,0.007893,1.1017
Uniform_by_x,KdTree,0.1,0.633965,1.00121,0.0250347,3.39307,10.0121,0.12026,0.250473,1.01901,0.10168,0.463867,2.23279,0.232117,0.411136,1.33841,0.102254,0.404079,1.88655,0.000354,0.004921,0.0976243,0.000395,0.008293,1.07713
Uniform_by_x,KdTree,0.01,0.131754,0.243223,0.00230367,3.85184,24.3224,0.122464,0.261834,1.03139,0.101801,0.459987,2.21458,0.23314,0.412735,1.34312,0.101212,0.400634,1.87277,0.000442333,0.00497033,0.0981273,0.00124067,0.00796067,1.0712
Uniform_by_x,KdTree,0.001,0.019015,0.036831,0.000256,3.68533,36.8315,0.123174,0.259067,1.02847,0.0958757,0.4486,2.21943,0.232362,0.411735,1.33411,0.0922697,0.390557,1.87184,0.000322,0.00487367,0.098098,0.000388,0.00797933,1.0759
Uniform_by_x,KdTree,0.0001,0.003952,0.00627498,7.13333e-05,3.59004,62.7547,0.124083,0.262679,1.0308,0.0802673,0.336628,1.56688,0.232329,0.410539,1.33489,0.0777047,0.301151,1.3108,0.000350333,0.004923,0.0979257,0.000437,0.00808,1.07385
Uniform_by_x,OrthTree,1.0,4.56713,4.56713,4.56713,4.56713,4.56713,0.101382,0.21887,0.973357,0.103022,0.376552,1.6555,0.204271,0.370279,1.29754,0.102339,0.327722,1.4033,0.000379,0.006702,0.0980757,0.000485333,0.00942433,1.20135
Uniform_by_x,OrthTree,0.1,0.229523,0.192282,0.047609,0.250934,1.92283,0.10194,0.209874,0.951085,0.0407127,0.312581,2.21306,0.19815,0.345439,1.24301,0.0527917,0.326312,1.99215,0.000376,0.00496567,0.072802,0.000509667,0.00813967,1.1571
Uniform_by_x,OrthTree,0.01,0.031407,0.0308384,0.00674467,0.0425047,3.08388,0.105247,0.216406,0.957093,0.0417097,0.31621,2.23179,0.201251,0.349192,1.24679,0.0532673,0.329876,2.00883,0.000386333,0.00503633,0.073913,0.000503,0.00798267,1.10293
Uniform_by_x,OrthTree,0.001,0.004296,0.00424628,0.000494667,0.0115763,4.24677,0.107356,0.216676,0.958125,0.040629,0.319243,2.25327,0.205376,0.354813,1.25668,0.053324,0.333152,2.02665,0.000395,0.00534933,0.0729343,0.000468333,0.00813633,1.07139
Uniform_by_x,OrthTree,0.0001,0.000860667,0.000873147,0.000126667,0.00463,8.73645,0.108964,0.222395,0.963272,0.0411347,0.321589,2.26605,0.207302,0.35548,1.25503,0.0534633,0.336211,2.03614,0.000384667,0.00516833,0.0730387,0.000485,0.00801333,1.02431
Varden,PTree,1.0,3.09693,3.09693,3.09693,3.09693,3.09693,0.505736,2.23203,13.364,0.284466,0.566024,3.57419,1.29349,2.69765,8.71028,0.183134,0.391254,2.50083,0.000516,0.00216033,0.103922,0.000632667,0.008231,1.15436
Varden,PTree,0.1,0.220868,0.221531,0.219031,0.225248,2.21531,0.37108,2.18078,13.7874,0.261484,0.574595,3.67126,1.32175,2.73267,8.89339,0.20019,0.477677,3.0574,0.000526,0.00222233,0.109692,0.000994333,0.00824467,1.156
Varden,PTree,0.01,0.024857,0.0254318,0.0230847,0.033174,2.54323,0.377735,2.21374,13.8743,0.265485,0.576829,3.68616,1.34966,2.79125,9.09255,0.207148,0.484016,3.07828,0.000536333,0.002331,0.105537,0.000948,0.008431,1.19912
Varden,PTree,0.001,0.00332,0.00354089,0.00268767,0.00981667,3.54139,0.383666,2.25104,14.066,0.266363,0.582989,3.70308,1.36107,2.82594,9.177,0.249575,0.558437,3.40784,0.000826333,0.00239167,0.105346,0.000684667,0.00834167,1.21491
Varden,PTree,0.0001,0.000801667,0.000820767,0.000536667,0.00505267,8.21266,0.382966,2.24834,14.1432,0.270242,0.578165,3.68929,1.3619,2.82733,9.16624,0.245654,0.589192,3.46312,0.000547667,0.002368,0.105884,0.000677333,0.00858967,1.21905
Varden,KdTree,1.0,6.12852,6.12852,6.12852,6.12852,6.12852,0.051635,0.109031,0.532387,0.406287,0.641431,5.53335,0.223778,0.398904,1.30328,0.10504,0.168716,1.18463,0.000723333,0.00243667,0.0601763,0.000522667,0.007033,1.07244
Varden,KdTree,0.1,0.823279,0.935731,0.0278553,1.89148,9.35732,0.053733,0.110809,0.534168,0.515284,0.842234,6.51831,0.23394,0.410475,1.3286,0.133531,0.224919,1.58926,0.001027,0.002504,0.062785,0.000429333,0.00694,1.04046
Varden,KdTree,0.01,0.0953847,0.188524,0.00282433,1.93325,18.8525,0.0542443,0.111556,0.535994,0.44068,0.676682,5.08054,0.234064,0.411766,1.33262,0.133109,0.225885,1.46552,0.000889667,0.00256667,0.0628947,0.000474667,0.00694467,1.03372
Varden,KdTree,0.001,0.0117543,0.028758,0.000262,1.89031,28.7585,0.0543283,0.111745,0.536724,0.473567,0.74351,5.77151,0.234275,0.411245,1.33116,0.108395,0.173716,0.967023,0.00104833,0.00289967,0.0635203,0.000472667,0.006683,1.03184
Varden,KdTree,0.0001,0.002944,0.00515967,6.86667e-05,1.82217,51.6016,0.05437,0.111673,0.536218,0.525301,0.804319,6.49715,0.234243,0.410372,1.32907,0.124234,0.230892,1.75143,0.00106633,0.00254433,0.063117,0.000460667,0.00663467,1.03562
Varden,OrthTree,1.0,11.8225,11.8225,11.8225,11.8225,11.8225,0.0953383,0.154989,0.5757,0.156146,0.278599,1.05635,0.232536,0.392459,1.30098,0.0972957,0.145759,0.487522,0.000598667,0.00312567,0.0537967,0.000730333,0.006721,1.11753
Varden,OrthTree,0.1,0.710365,0.67916,0.053329,0.99328,6.7916,0.0993727,0.157801,0.563447,0.138362,0.243022,1.16392,0.242878,0.397447,1.28758,0.110969,0.19865,1.1386,0.000577333,0.00284767,0.0496103,0.000703333,0.00664467,1.06789
Varden,OrthTree,0.01,0.08515,0.0847714,0.00605,0.124359,8.47719,0.0998927,0.158649,0.574215,0.138897,0.243515,1.18144,0.248304,0.402003,1.30082,0.112016,0.199146,1.14619,0.000576667,0.00284,0.0501007,0.000679,0.006743,1.03083
Varden,OrthTree,0.001,0.0125453,0.0125343,0.000620667,0.0176237,12.5348,0.0999917,0.159093,0.567831,0.138716,0.239025,1.15374,0.247408,0.404663,1.30695,0.111583,0.199281,1.14926,0.000569,0.002875,0.0497957,0.000674,0.00667767,1.02361
Varden,OrthTree,0.0001,0.00275167,0.00283017,3.83333e-05,0.00573133,28.3067,0.100189,0.159677,0.568132,0.139291,0.238618,1.17894,0.248322,0.404019,1.30516,0.112406,0.20151,1.14751,0.000584333,0.002843,0.049767,0.000684667,0.00651567,1.01302
Uniform,PTree,1.0,3.3375,3.3375,3.3375,3.3375,3.3375,1.11555,1.93476,4.66297,1.1294,1.93195,4.63933,1.09148,1.92309,4.62731,1.12843,1.93214,4.62605,0.000404333,0.003796,0.155735,0.000635667,0.00947167,1.16535
Uniform,PTree,0.1,0.496954,0.468833,0.268533,0.64775,4.68833,1.1585,1.95541,4.63142,1.18403,1.96553,4.63508,1.15124,1.96163,4.64347,1.18862,1.97405,4.65179,0.000423667,0.00457467,0.160677,0.000582667,0.009984,1.24697
Uniform,PTree,0.01,0.155269,0.143898,0.027784,0.20455,14.3899,1.15598,1.95285,4.63248,1.18123,1.962,4.637,1.14842,1.95791,4.64442,1.18484,1.96955,4.65439,0.000444333,0.00476633,0.160971,0.000577333,0.010495,1.24348
Uniform,PTree,0.001,0.029193,0.0277034,0.00374567,0.03685,27.7039,1.15485,1.95266,4.63399,1.18109,1.96275,4.63943,1.14824,1.958,4.64616,1.18531,1.97048,4.65495,0.000445667,0.00467033,0.161748,0.000652333,0.00993733,1.24039
Uniform,PTree,0.0001,0.004297,0.00422068,0.000579333,0.00679367,42.2118,1.1544,1.95187,4.63276,1.18126,1.96221,4.63927,1.14869,1.95889,4.64601,1.18577,1.96974,4.65493,0.000441,0.004767,0.160941,0.000613333,0.00996133,1.24368
Uniform,KdTree,1.0,3.68976,3.68976,3.68976,3.68976,3.68976,0.220615,0.398098,1.299,0.253515,0.397918,1.27788,0.221688,0.38846,1.26091,0.256728,0.395334,1.25553,0.000349667,0.00451133,0.0977693,0.000428,0.00767233,1.09078
