1.in 7.3659 25.5182 alpha: 48
distance ratio: 0
input box: (1, 0, 0, )  (100000, 100000, 100000, ) 
query box: (1, 0, 0, )  (100000, 100000, 100000, ) 
0 1000000 0.012075 17 15.5325 0.193794 463 0.210487 475 0.41977 554 
10000000 11000000 0.010443 42 25.3744 0.849994 1725 0.932517 1746 1.21151 1857 
20000000 21000000 0.037394 48 25.6339 0.954148 1800 1.04554 1822 1.29814 1945 
30000000 31000000 0.008359 48 25.7747 0.749973 1497 0.845956 1519 1.07428 1632 
40000000 41000000 0.014454 48 26.0207 0.752681 1505 0.837543 1527 1.114 1651 
50000000 51000000 0.020571 49 26.6145 0.936559 1811 1.05267 1835 1.34875 1975 
60000000 61000000 0.0121 49 27.4944 0.958933 1850 1.07066 1874 1.37491 2016 
70000000 71000000 0.020131 49 27.6563 0.725927 1418 0.770664 1437 1.11915 1574 
80000000 81000000 0.019265 51 27.9454 0.633939 1242 0.659452 1259 1.01143 1397 
90000000 91000000 0.013931 51 28.4109 0.601157 1165 0.62371 1182 0.962471 1321 
100000000 101000000 0.015157 53 28.9215 0.535241 1055 0.556073 1070 0.842156 1196 
110000000 111000000 0.026607 56 29.3897 0.496926 974 0.523395 1002 0.837667 1190 
120000000 121000000 0.035456 64 29.7059 0.463743 917 0.48847 944 0.771622 1124 
130000000 131000000 0.012928 64 30.0496 0.456167 906 0.480777 933 0.756953 1114 
140000000 141000000 0.184362 58 28.2994 0.451489 899 0.476182 926 0.746086 1104 
150000000 151000000 0.019586 58 28.422 0.187225 408 0.205598 429 0.374106 559 
160000000 161000000 0.014831 62 28.7449 0.104652 260 0.11813 274 0.249919 372 
170000000 171000000 0.01788 58 28.8613 0.058668 138 0.070972 152 0.197257 250 
180000000 181000000 0.014762 58 28.9279 0.050772 123 0.062872 137 0.183009 231 
190000000 191000000 0.016039 58 29.1164 0.039333 100 0.05132 113 0.166231 203 
200000000 201000000 0.016707 59 29.3127 0.030628 79 0.041608 92 0.154065 182 
210000000 211000000 0.018063 60 29.5434 0.030733 79 0.041832 93 0.154601 183 
220000000 221000000 0.021366 63 29.8285 0.024648 66 0.03499 79 0.143353 165 
230000000 231000000 0.016498 63 30.0145 0.024647 66 0.034868 79 0.144096 166 
240000000 241000000 0.011231 63 30.0756 0.023586 64 0.03352 76 0.142935 163 
250000000 251000000 0.016144 63 30.2447 0.021107 59 0.030938 72 0.139406 158 
260000000 261000000 0.014958 63 30.3466 0.020765 59 0.030698 71 0.139086 158 
270000000 271000000 0.025598 63 29.875 0.020887 58 0.030733 71 0.139602 158 
280000000 281000000 0.013254 65 29.9984 0.019305 55 0.029217 68 0.137524 155 
290000000 291000000 0.013839 65 30.1053 0.019307 55 0.029296 68 0.137879 155 
300000000 301000000 0.01322 67 30.1747 0.019245 55 0.029181 68 0.137803 155 
310000000 311000000 0.017359 67 30.2401 0.019202 55 0.029114 68 0.137789 155 
320000000 321000000 0.014496 67 30.3111 0.019222 55 0.029194 68 0.138146 155 
330000000 331000000 0.011877 69 30.4143 0.018971 55 0.029006 68 0.137159 154 
340000000 341000000 0.012415 69 30.4997 0.01852 54 0.028331 67 0.13657 153 
350000000 351000000 0.01371 69 30.5902 0.017002 51 0.026677 63 0.134212 150 
360000000 361000000 0.014932 70 30.666 0.01664 50 0.026274 63 0.133402 149 
370000000 371000000 0.012434 70 30.8028 0.016499 50 0.026134 62 0.133247 148 
380000000 381000000 0.013851 70 30.8982 0.016427 50 0.026061 62 0.132862 148 
390000000 391000000 0.013377 70 30.9397 0.015989 49 0.02546 61 0.13139 146 
400000000 401000000 0.014437 70 31.0131 0.015357 48 0.024697 60 0.129459 144 
410000000 411000000 0.015054 70 31.0356 0.015274 47 0.024582 59 0.128838 143 
420000000 421000000 0.013222 70 31.0658 0.01506 47 0.024316 59 0.127027 141 
430000000 431000000 0.012927 70 31.1384 0.014873 47 0.024063 58 0.126152 139 
440000000 441000000 0.012885 70 31.2148 0.01489 47 0.024112 58 0.126109 139 
