build1 maxdepth1 averagedepth1 rc1 build2 maxdepth2 averagedepth2 rc2
1 4.89202 28 25.5182 1.15256 4.6543 28 25.5249 1.4047 
1 543.394 28 25.511 1.14567 460.407 28 25.4848 1.3859 
2 283.666 28 25.5124 1.13658 264.865 28 25.5093 1.4132 
3 202.21 28 25.5227 1.15461 165.274 28 25.4867 1.40871 
4 152.24 28 25.5066 1.14507 120.121 28 25.5002 1.40576 
5 109.165 28 25.5242 1.15585 93.104 28 25.4854 1.40032 
6 91.6179 28 25.5277 1.14857 74.2623 28 25.4965 1.4097 
10 50.6841 29 25.554 1.15097 34.8353 29 25.569 1.39781 
20 28.1143 32 25.7626 1.14823 20.2568 33 25.8783 1.42376 
30 21.8033 35 26.1167 1.16295 15.8221 36 26.4622 1.41774 
40 16.2813 47 27.9713 1.17987 16.3774 38 25.7877 1.42001 
45 16.8982 53 28.8785 1.19129 17.1642 39 26.4451 1.4344 
46 17.335 59 29.4712 1.19877 19.5481 41 26.3752 1.3974 
47 16.653 58 31.0037 1.21159 17.4557 42 27.2062 1.42617 
48 17.6764 67 32.8096 1.22659 17.372 43 28.0121 1.39163 
49 32.5862 180 77.4509 1.59178 15.8767 66 38.8125 1.44192 
50 32.5432 180 77.4509 1.58488 15.8668 66 38.8125 1.45971 
