benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Varden,KdTree,1.0,0.247497,0.247497,0.247497,0.247497,0.247499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,KdTree,0.1,0.53472,0.477347,0.0272917,0.578786,4.77347,0.071786,0.145945,0.634755,0.141604,0.255507,1.01618,0.230353,0.387259,1.34087,0.258186,0.403429,1.33788
Varden,KdTree,0.01,0.0877007,0.0841224,0.002039,0.153092,8.4123,0.0718303,0.146023,0.636332,0.143175,0.256142,1.01768,0.230982,0.387873,1.34241,0.259161,0.403951,1.33976
Varden,KdTree,0.001,0.012523,0.0132688,0.000264667,0.109644,13.2693,0.0716233,0.146098,0.63588,0.141507,0.256023,1.01915,0.230374,0.387479,1.3407,0.258485,0.403616,1.33814
Varden,KdTree,0.0001,0.003067,0.00314597,6e-05,0.10338,31.4647,0.0717007,0.146132,0.63575,0.141552,0.256001,1.01782,0.230997,0.388021,1.3389,0.258983,0.405171,1.33798
Uniform_by_x,KdTree,1.0,0.19288,0.19288,0.19288,0.19288,0.192883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,KdTree,0.1,0.635601,1.04229,0.023311,3.6255,10.4229,0.118529,0.256496,1.00862,0.0988827,0.465919,2.2291,0.233161,0.410281,1.33696,0.100019,0.407349,1.88417
Uniform_by_x,KdTree,0.01,0.135152,0.236068,0.00224633,3.46783,23.6069,0.122866,0.255315,1.01886,0.097846,0.47718,2.19479,0.233526,0.410947,1.33713,0.0990557,0.403209,1.85337
Uniform_by_x,KdTree,0.001,0.0188013,0.0360999,0.000245333,3.58428,36.1004,0.123036,0.256201,1.01554,0.0835777,0.439257,2.18376,0.233517,0.410637,1.33566,0.084771,0.385219,1.85034
Uniform_by_x,KdTree,0.0001,0.003957,0.00624842,6.86667e-05,3.60412,62.4892,0.119517,0.254889,1.01043,0.0835633,0.407025,1.88401,0.232762,0.40933,1.3321,0.0848413,0.357487,1.58188
Uniform,KdTree,1.0,0.277945,0.277945,0.277945,0.277945,0.277947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,KdTree,0.1,0.519091,0.442468,0.027788,0.570581,4.42468,0.229617,0.409314,1.41286,0.259584,0.410959,1.39059,0.229801,0.399489,1.37038,0.262149,0.409327,1.36499
Uniform,KdTree,0.01,0.120161,0.110063,0.00343367,0.140126,11.0063,0.230035,0.410075,1.41552,0.259568,0.411714,1.39336,0.229973,0.400172,1.37199,0.262501,0.410377,1.36644
Uniform,KdTree,0.001,0.02458,0.0229358,0.000417,0.0282523,22.9363,0.229752,0.409855,1.41551,0.259562,0.411753,1.39285,0.230192,0.400227,1.37123,0.262684,0.410022,1.36549
Uniform,KdTree,0.0001,0.00605167,0.00582603,7.7e-05,0.007496,58.2653,0.229758,0.409878,1.41515,0.25981,0.411743,1.39308,0.230198,0.400242,1.37199,0.262758,0.41043,1.36561
Varden,OrthTree,1.0,0.469363,0.469363,0.469363,0.469363,0.469365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
