benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform,KdTree,1.0,3.9069,3.9069,3.9069,3.9069,3.9069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,KdTree,0.1,0.47868,0.454584,0.304746,0.59051,4.54585,0.234421,0.419885,1.35264,0.265865,0.414613,1.32062,0.233468,0.403907,1.29938,0.267569,0.410588,1.29105
Uniform,KdTree,0.01,0.114814,0.1064,0.037169,0.138773,10.6401,0.233041,0.431736,1.3755,0.267106,0.416142,1.32818,0.234794,0.405675,1.30692,0.268588,0.412333,1.29939
Uniform,KdTree,0.001,0.0221743,0.0209055,0.00404967,0.0261223,20.906,0.232724,0.433486,1.37841,0.268647,0.417059,1.32934,0.235831,0.406488,1.30844,0.269823,0.413438,1.30109
Uniform,KdTree,0.0001,0.00519667,0.00497485,0.000775333,0.006854,49.7535,0.233079,0.433486,1.37857,0.268577,0.417104,1.32899,0.236463,0.406951,1.30889,0.270252,0.414182,1.30217
Uniform,OrthTree,1.0,3.18603,3.18603,3.18603,3.18603,3.18603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,OrthTree,0.1,0.495926,0.430604,0.267418,0.523442,4.30604,0.212538,0.381644,1.30889,0.235664,0.382741,1.29135,0.208058,0.371072,1.27589,0.233701,0.375493,1.26622
Uniform,OrthTree,0.01,0.117746,0.101595,0.033495,0.126168,10.1596,0.213274,0.383957,1.3173,0.237384,0.38335,1.29746,0.209277,0.371849,1.28248,0.23529,0.37721,1.27084
Uniform,OrthTree,0.001,0.021705,0.0196205,0.00317267,0.0239757,19.621,0.213097,0.383372,1.31636,0.237335,0.383152,1.29694,0.209047,0.372074,1.28157,0.236931,0.377167,1.27138
Uniform,OrthTree,0.0001,0.00317367,0.00295425,0.000587,0.004932,29.5475,0.212882,0.383085,1.31558,0.237384,0.383183,1.29617,0.209349,0.371747,1.28259,0.23513,0.37741,1.27042
Uniform,PTree,1.0,3.34768,3.34768,3.34768,3.34768,3.34768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,PTree,0.1,0.397921,0.393844,0.308439,0.45595,3.93845,1.88969,2.80017,5.60536,1.93958,2.81827,5.6141,1.90189,2.81928,5.62343,1.9541,2.83569,5.63723
Uniform,PTree,0.01,0.0600807,0.0597269,0.0304963,0.0755753,5.97274,1.89071,2.80241,5.60853,1.9409,2.82269,5.62052,1.90355,2.82155,5.62853,1.95664,2.83731,5.64098
Uniform,PTree,0.001,0.0135897,0.0128502,0.004167,0.016951,12.8507,1.87892,2.78813,5.59166,1.92968,2.80745,5.6002,1.89152,2.80593,5.61007,1.94393,2.82022,5.62644
Uniform,PTree,0.0001,0.00278167,0.00266548,0.000781333,0.00524,26.6598,1.89487,2.8271,5.68469,1.94593,2.84586,5.69613,1.90824,2.84567,5.70267,1.96,2.85939,5.71415
Varden,KdTree,1.0,5.13455,5.13455,5.13455,5.13455,5.13455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,KdTree,0.1,0.639319,0.637359,0.361531,0.816756,6.37359,0.069459,0.140144,0.599505,0.144651,0.251817,0.936473,0.234772,0.390495,1.27201,0.264826,0.405496,1.26813
Varden,KdTree,0.01,0.102123,0.106369,0.0426347,0.324949,10.637,0.0698773,0.140933,0.600853,0.145367,0.253498,0.944744,0.23537,0.39189,1.27537,0.266048,0.407141,1.2726
Varden,KdTree,0.001,0.0139807,0.016054,0.00427967,0.281661,16.0545,0.069924,0.141803,0.602693,0.147628,0.254046,0.947153,0.235813,0.393094,1.2785,0.266799,0.408027,1.2762
Varden,KdTree,0.0001,0.002859,0.00324351,0.00118467,0.523897,32.4401,0.07027,0.141218,0.602918,0.145362,0.253921,0.946754,0.236139,0.392668,1.27472,0.267096,0.408467,1.27418
Varden,OrthTree,1.0,5.03095,5.03095,5.03095,5.03095,5.03095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,OrthTree,0.1,0.48024,0.472957,0.396529,0.550779,4.72958,0.080472,0.156813,0.653044,0.138727,0.246532,0.963682,0.205254,0.355064,1.28201,0.226484,0.364484,1.25905
Varden,OrthTree,0.01,0.077193,0.0804005,0.0411137,0.121163,8.0401,0.080941,0.157377,0.655226,0.139494,0.247639,0.964882,0.205914,0.355256,1.28439,0.227485,0.365244,1.26095
Varden,OrthTree,0.001,0.0112557,0.0124491,0.00536533,0.0258097,12.4496,0.0808153,0.157727,0.65469,0.139273,0.247707,0.966877,0.20601,0.355771,1.28607,0.227775,0.365375,1.26207
Varden,OrthTree,0.0001,0.00260367,0.00273563,0.000953,0.00691733,27.3613,0.0806687,0.157492,0.654496,0.138408,0.24643,0.965022,0.205723,0.354536,1.27612,0.227561,0.365872,1.25395
Varden,PTree,1.0,3.10723,3.10723,3.10723,3.10723,3.10723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,PTree,0.1,0.361413,0.344359,0.268582,0.383275,3.44359,0.364064,0.725509,2.69454,0.731884,1.22533,3.84418,1.98843,3.00378,6.2317,1.99006,2.95233,6.07772
Varden,PTree,0.01,0.044479,0.0447744,0.0276077,0.0629367,4.47749,0.378312,0.777109,2.99893,0.734378,1.22025,3.8484,2.01407,3.04903,6.38641,2.01656,3.00241,6.24728
Varden,PTree,0.001,0.00581667,0.00630436,0.003603,0.010601,6.30486,0.404357,0.847321,3.31139,0.7341,1.22539,3.87382,2.00357,3.02592,6.40897,2.00234,2.9675,6.2268
