benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform_by_x,PTree,1.0,3.8494,3.8494,3.8494,3.8494,3.8494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.369302,0.368766,0.363719,0.372776,3.68766,2.81868,5.38096,12.4204,0.95912,1.97812,10.4283,6.13349,10.7954,22.7403,1.08796,2.42954,11.7092
Uniform_by_x,PTree,0.01,0.039305,0.0394352,0.037584,0.0416513,3.94357,3.6187,6.97132,15.5675,0.971684,1.89832,9.71275,6.01333,10.446,21.5837,1.05328,2.17917,10.7403
Uniform_by_x,PTree,0.001,0.005707,0.00575762,0.00488967,0.008215,5.75811,4.17771,9.50945,26.7698,2.01566,4.13421,16.085,8.88682,18.4387,46.8801,2.21244,4.75718,18.5873
Uniform_by_x,PTree,0.0001,0.001258,0.00125411,0.000899,0.00300933,12.5461,3.89735,9.04773,23.4661,1.62826,3.11361,12.5025,8.10104,16.7676,40.029,1.79409,3.65231,14.5818
Uniform_by_x,KdTree,1.0,5.80644,5.80644,5.80644,5.80644,5.80644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,KdTree,0.1,1.6128,1.6566,0.428117,3.67467,16.5661,0.169947,0.645563,2.35121,0.353435,1.96327,8.4404,0.275748,0.93735,3.13834,0.37466,1.69213,6.5195
Uniform_by_x,KdTree,0.01,0.210749,0.204831,0.041236,0.382991,20.4831,0.20754,0.735097,2.53733,0.733838,3.56269,13.8121,0.279721,0.965529,3.22447,0.749335,2.9962,10.5692
Uniform_by_x,KdTree,0.001,0.0311063,0.0276958,0.00441633,0.040124,27.6963,0.247912,0.994743,3.44984,0.82606,6.49795,31.8804,0.277314,1.18328,4.20955,0.922633,5.65025,24.6729
Uniform_by_x,KdTree,0.0001,0.00709633,0.00681811,0.000832333,0.0135077,68.1861,0.247028,1.0082,3.52018,0.832022,6.70174,33.3494,0.278372,1.20923,4.30867,0.931187,5.84154,25.9072
Uniform_by_x,OrthTree,1.0,6.31302,6.31302,6.31302,6.31302,6.31303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,OrthTree,0.1,0.622559,0.616432,0.564825,0.675794,6.16433,0.190752,0.616825,2.35505,0.3846,1.82261,7.91774,0.304538,0.872182,3.01736,0.38835,1.56793,6.20761
Uniform_by_x,OrthTree,0.01,0.0607273,0.0608452,0.050529,0.0795803,6.08457,0.193859,0.62543,2.38708,0.393463,1.84026,7.94111,0.308791,0.880026,3.0203,0.396291,1.58301,6.22841
