benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,IDU1,IDU10,IDU100,ODS1,ODS10,ODS100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform_by_x,PTree-H,1.0,3.28714,3.28714,3.28714,3.28714,3.28714,0.459385,0.877761,2.55717,0.226633,0.660108,2.55772,1.14851,2.08864,5.27853,0.234457,0.616963,2.36995,0.000401333,0.00379633,0.157627,0.000657333,0.00963033,1.19842
Uniform_by_x,PTree-H,0.1,0.232635,0.232151,0.230058,0.233638,2.32152,0.466289,0.86751,2.59916,0.242953,0.689141,2.51445,1.16374,2.13368,5.7565,0.255894,0.648296,2.34115,0.000409,0.003932,0.160928,0.000653,0.00987633,1.19397
Uniform_by_x,PTree-H,0.01,0.0248217,0.0250266,0.024439,0.0271673,2.50271,0.494493,0.891325,2.63809,0.253822,0.71935,2.60031,1.16275,2.13037,5.87981,0.266412,0.677507,2.41627,0.000387333,0.00410733,0.163779,0.000647333,0.00999267,1.21585
Uniform_by_x,PTree-H,0.001,0.00317667,0.00323232,0.00291567,0.00831667,3.23282,0.510415,0.931785,2.72832,0.277508,0.784517,2.77666,1.21105,2.19543,5.90175,0.294442,0.738332,2.60294,0.000413667,0.00439667,0.158092,0.000632,0.0100427,1.25677
Uniform_by_x,PTree-H,0.0001,0.00083,0.000836642,0.000576333,0.00449867,8.37139,0.514189,0.941014,2.74379,0.274357,0.765803,2.72308,1.21326,2.20009,5.85653,0.287723,0.723242,2.54029,0.000402667,0.004479,0.159205,0.00064,0.0101337,1.25937
Uniform_by_x,PTree-Z,1.0,3.03988,3.03988,3.03988,3.03988,3.03988,0.953528,1.95682,4.75805,0.287651,0.88217,3.6399,3.51464,8.7903,21.1053,0.301129,0.822528,3.33041,0.000535333,0.00475933,0.21278,0.00062,0.010268,1.21937
Uniform_by_x,PTree-Z,0.1,0.214878,0.215501,0.213468,0.222439,2.15501,0.992507,1.98178,4.81532,0.308007,0.970137,3.94859,3.52956,8.77091,21.328,0.328946,0.928925,3.57824,0.000539333,0.00524267,0.217867,0.000649333,0.010867,1.22989
Uniform_by_x,PTree-Z,0.01,0.02252,0.0226762,0.0220873,0.0240867,2.26767,1.01041,1.94664,4.9371,0.32169,1.02624,4.00017,3.54178,8.60725,21.2699,0.350674,0.965604,3.61788,0.000522333,0.00519233,0.224417,0.000659333,0.0106103,1.26138
Uniform_by_x,PTree-Z,0.001,0.00295033,0.00300587,0.00265833,0.00569833,3.00638,1.03442,1.98589,4.96908,0.343099,1.07361,4.09198,3.6807,8.7608,21.3124,0.365512,1.00458,3.68218,0.000574,0.005543,0.215074,0.000680667,0.0109717,1.30354
Uniform_by_x,PTree-Z,0.0001,0.000895333,0.000908112,0.000567667,0.00489267,9.0861,1.02617,2.00198,4.93576,0.339633,1.05097,4.09385,3.68036,8.74906,21.3224,0.361699,0.982679,3.70135,0.000549667,0.00561767,0.214845,0.000651333,0.0107147,1.29991
Uniform_by_x,CPAM-H,1.0,10.1994,10.1994,10.1994,10.1994,10.1994,0.64164,1.16133,3.11947,0.271402,0.762383,2.81539,1.48894,2.73045,6.47068,0.278855,0.716069,2.59579,0.000537667,0.00525433,0.213928,0.000627667,0.0117197,1.41922
Uniform_by_x,CPAM-H,0.1,1.49715,1.49895,1.42974,1.59707,14.9895,0.65775,1.18152,3.21937,0.295242,0.817699,2.83136,1.56014,2.86907,7.08064,0.308021,0.766338,2.63047,0.000524333,0.00558967,0.227462,0.000658333,0.0111803,1.44381
Uniform_by_x,CPAM-H,0.01,0.110657,0.110705,0.0954427,0.126147,11.0706,0.650743,1.17158,3.27345,0.313449,0.856946,2.91491,1.50715,2.76653,7.13828,0.328274,0.801723,2.70717,0.00053,0.00593767,0.232027,0.000636,0.0116493,1.47768
Uniform_by_x,CPAM-H,0.001,0.00856467,0.00867217,0.00806067,0.013876,8.67268,0.66648,1.19216,3.30165,0.32828,0.883788,3.08906,1.49602,2.73747,7.04613,0.340109,0.830655,2.89072,0.000512667,0.006173,0.223325,0.000585667,0.0115143,1.49028
Uniform_by_x,CPAM-H,0.0001,0.002093,0.00212425,0.00168967,0.00654233,21.2475,0.684207,1.18706,3.33629,0.317961,0.853156,2.99922,1.48487,2.7364,7.0001,0.335991,0.807384,2.80958,0.000803,0.00616333,0.221998,0.000578333,0.0117753,1.48086
Uniform_by_x,CPAM-Z,1.0,10.0905,10.0905,10.0905,10.0905,10.0905,1.3726,2.64661,6.00643,0.344953,1.03835,4.12646,4.58722,11.4264,26.3804,0.364178,0.974967,3.76154,0.000854333,0.006871,0.291958,0.000677333,0.0119603,1.47092
Uniform_by_x,CPAM-Z,0.1,1.44436,1.43534,1.33904,1.53914,14.3534,1.41258,2.77604,6.22699,0.382737,1.14018,4.49682,4.73963,11.8248,27.5275,0.408949,1.08501,4.07486,0.000803667,0.00711433,0.308421,0.000666,0.012115,1.4898
Uniform_by_x,CPAM-Z,0.01,0.108104,0.107182,0.0928877,0.122214,10.7183,1.38163,2.70741,6.39516,0.388361,1.20561,4.54672,4.51695,11.2255,27.2326,0.425934,1.14525,4.10771,0.00255467,0.00752367,0.313342,0.000675,0.01365,1.51538
Uniform_by_x,CPAM-Z,0.001,0.00843333,0.00851977,0.00773267,0.0141533,8.52026,1.41207,2.69601,6.37649,0.401429,1.22554,4.56237,4.47457,10.9906,26.6018,0.417353,1.12016,4.09179,0.000775667,0.00791433,0.302335,0.000675,0.013002,1.53988
Uniform_by_x,CPAM-Z,0.0001,0.00226067,0.00227297,0.00168067,0.006759,22.7347,1.37883,2.70993,6.35996,0.389503,1.17705,4.50462,4.47286,10.9853,26.6056,0.425693,1.14626,4.04743,0.000761,0.00831233,0.300236,0.000682333,0.012858,1.54153
Uniform_by_x,KdTree,1.0,5.02894,5.02894,5.02894,5.02894,5.02894,0.1132,0.242955,0.984213,0.0978227,0.435309,2.09333,0.222967,0.397813,1.30476,0.0973913,0.392434,1.77234,0.000356,0.00465433,0.093648,0.000405667,0.007893,1.1017
Uniform_by_x,KdTree,0.1,0.633965,1.00121,0.0250347,3.39307,10.0121,0.12026,0.250473,1.01901,0.10168,0.463867,2.23279,0.232117,0.411136,1.33841,0.102254,0.404079,1.88655,0.000354,0.004921,0.0976243,0.000395,0.008293,1.07713
Uniform_by_x,KdTree,0.01,0.131754,0.243223,0.00230367,3.85184,24.3224,0.122464,0.261834,1.03139,0.101801,0.459987,2.21458,0.23314,0.412735,1.34312,0.101212,0.400634,1.87277,0.000442333,0.00497033,0.0981273,0.00124067,0.00796067,1.0712
Uniform_by_x,KdTree,0.001,0.019015,0.036831,0.000256,3.68533,36.8315,0.123174,0.259067,1.02847,0.0958757,0.4486,2.21943,0.232362,0.411735,1.33411,0.0922697,0.390557,1.87184,0.000322,0.00487367,0.098098,0.000388,0.00797933,1.0759
Uniform_by_x,KdTree,0.0001,0.003952,0.00627498,7.13333e-05,3.59004,62.7547,0.124083,0.262679,1.0308,0.0802673,0.336628,1.56688,0.232329,0.410539,1.33489,0.0777047,0.301151,1.3108,0.000350333,0.004923,0.0979257,0.000437,0.00808,1.07385
Uniform_by_x,OrthTree,1.0,4.56713,4.56713,4.56713,4.56713,4.56713,0.101382,0.21887,0.973357,0.103022,0.376552,1.6555,0.204271,0.370279,1.29754,0.102339,0.327722,1.4033,0.000379,0.006702,0.0980757,0.000485333,0.00942433,1.20135
Uniform_by_x,OrthTree,0.1,0.229523,0.192282,0.047609,0.250934,1.92283,0.10194,0.209874,0.951085,0.0407127,0.312581,2.21306,0.19815,0.345439,1.24301,0.0527917,0.326312,1.99215,0.000376,0.00496567,0.072802,0.000509667,0.00813967,1.1571
Uniform_by_x,OrthTree,0.01,0.031407,0.0308384,0.00674467,0.0425047,3.08388,0.105247,0.216406,0.957093,0.0417097,0.31621,2.23179,0.201251,0.349192,1.24679,0.0532673,0.329876,2.00883,0.000386333,0.00503633,0.073913,0.000503,0.00798267,1.10293
Uniform_by_x,OrthTree,0.001,0.004296,0.00424628,0.000494667,0.0115763,4.24677,0.107356,0.216676,0.958125,0.040629,0.319243,2.25327,0.205376,0.354813,1.25668,0.053324,0.333152,2.02665,0.000395,0.00534933,0.0729343,0.000468333,0.00813633,1.07139
Uniform_by_x,OrthTree,0.0001,0.000860667,0.000873147,0.000126667,0.00463,8.73645,0.108964,0.222395,0.963272,0.0411347,0.321589,2.26605,0.207302,0.35548,1.25503,0.0534633,0.336211,2.03614,0.000384667,0.00516833,0.0730387,0.000485,0.00801333,1.02431
Varden,PTree-H,1.0,3.09693,3.09693,3.09693,3.09693,3.09693,0.505736,2.23203,13.364,0.284466,0.566024,3.57419,1.29349,2.69765,8.71028,0.183134,0.391254,2.50083,0.000516,0.00216033,0.103922,0.000632667,0.008231,1.15436
Varden,PTree-H,0.1,0.220868,0.221531,0.219031,0.225248,2.21531,0.37108,2.18078,13.7874,0.261484,0.574595,3.67126,1.32175,2.73267,8.89339,0.20019,0.477677,3.0574,0.000526,0.00222233,0.109692,0.000994333,0.00824467,1.156
Varden,PTree-H,0.01,0.024857,0.0254318,0.0230847,0.033174,2.54323,0.377735,2.21374,13.8743,0.265485,0.576829,3.68616,1.34966,2.79125,9.09255,0.207148,0.484016,3.07828,0.000536333,0.002331,0.105537,0.000948,0.008431,1.19912
Varden,PTree-H,0.001,0.00332,0.00354089,0.00268767,0.00981667,3.54139,0.383666,2.25104,14.066,0.266363,0.582989,3.70308,1.36107,2.82594,9.177,0.249575,0.558437,3.40784,0.000826333,0.00239167,0.105346,0.000684667,0.00834167,1.21491
Varden,PTree-H,0.0001,0.000801667,0.000820767,0.000536667,0.00505267,8.21266,0.382966,2.24834,14.1432,0.270242,0.578165,3.68929,1.3619,2.82733,9.16624,0.245654,0.589192,3.46312,0.000547667,0.002368,0.105884,0.000677333,0.00858967,1.21905
Varden,PTree-Z,1.0,3.04482,3.04482,3.04482,3.04482,3.04482,0.938071,3.93929,23.2112,0.312894,1.0222,7.4954,4.26711,10.7577,27.897,0.290526,0.499514,2.96845,0.000626333,0.00305633,0.164326,0.000783333,0.00862733,1.18494
Varden,PTree-Z,0.1,0.201978,0.202835,0.200147,0.207988,2.02835,0.941523,3.97327,22.7848,0.333495,2.12147,17.7861,4.30512,10.7069,27.5599,0.264682,0.579841,3.44254,0.000647667,0.00317433,0.173183,0.000832667,0.00869233,1.19807
Varden,PTree-Z,0.01,0.0218357,0.0227359,0.0208293,0.0320033,2.27364,0.986555,4.09978,23.6828,0.335746,2.21808,18.2766,4.33574,10.5227,27.7382,0.269911,0.598554,3.5063,0.000685,0.00329933,0.168337,0.000826667,0.00901633,1.24206
Varden,PTree-Z,0.001,0.00303133,0.00326371,0.00238767,0.00683067,3.2642,1.01284,4.28259,23.8419,0.333803,2.27699,17.0991,4.3625,10.5679,27.8529,0.274002,0.619849,3.50162,0.000696,0.003454,0.169475,0.000808667,0.00895867,1.26108
Varden,PTree-Z,0.0001,0.000761667,0.000779123,0.000508667,0.00491167,7.79621,1.017,4.30321,23.8839,0.333813,2.2907,17.1412,4.36692,10.5719,27.8528,0.272928,0.619656,3.50605,0.000703,0.003487,0.167833,0.000796333,0.008906,1.26077
Varden,CPAM-H,1.0,9.83688,9.83688,9.83688,9.83688,9.83688,0.593468,2.5085,14.5243,0.352053,0.65856,3.80461,1.66259,3.45573,9.86871,0.23194,0.465102,2.66615,0.000893,0.00317733,0.145953,0.001106,0.00884533,1.37462
Varden,CPAM-H,0.1,1.50595,1.49233,1.3754,1.55635,14.9233,0.447798,2.46179,14.675,0.332054,0.668379,3.97569,1.71214,3.54158,10.3183,0.258732,0.557997,3.28121,0.000849333,0.00300633,0.156135,0.00114567,0.00886433,1.39535
Varden,CPAM-H,0.01,0.112423,0.112195,0.0963657,0.125129,11.2196,0.458675,2.48962,14.989,0.337328,0.67375,3.9882,1.65555,3.43984,10.4401,0.264297,0.567147,3.30484,0.000834667,0.00408233,0.156222,0.00113533,0.00912767,1.42252
