benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform_by_x,PTree-H,1.0,3.88114,3.88114,3.88114,3.88114,3.88114,1.78819,3.84525,9.8431,0.458696,1.03247,7.67498,3.54084,6.88902,15.7932,0.503052,1.30695,8.53962,0.000742,0.0591827,1.13175,0.000740333,0.0652573,2.01672
Uniform_by_x,PTree-H,0.1,0.301662,0.301167,0.296826,0.307734,3.01168,1.84809,4.05573,10.5629,0.53963,1.2156,8.40327,4.0754,8.17569,19.2094,0.582733,1.46325,9.21265,0.000738667,0.0645683,1.16695,0.000754,0.0707267,2.05665
Uniform_by_x,PTree-H,0.01,0.0328527,0.0329896,0.031502,0.0362673,3.29901,1.81696,3.86613,10.1479,0.591378,1.28591,8.0086,3.96611,7.82742,18.396,0.635071,1.50336,8.87541,0.000765667,0.060381,1.14306,0.000788333,0.067747,2.14379
Uniform_by_x,PTree-H,0.001,0.006206,0.00612757,0.00432633,0.009967,6.12807,1.8237,3.86302,10.0973,0.589137,1.28949,7.92095,3.97395,7.83471,18.3203,0.639029,1.5153,8.86651,0.000779,0.059484,1.13455,0.000789333,0.0656917,2.14795
Uniform_by_x,PTree-H,0.0001,0.002142,0.00205255,0.000713667,0.00639033,20.5305,1.81837,3.85801,10.0921,0.570267,1.25592,7.85778,3.97027,7.82469,18.2982,0.622171,1.48865,8.84157,0.000769667,0.058269,1.13848,0.000741,0.0658453,2.15589
Uniform_by_x,KdTree,1.0,6.00929,6.00929,6.00929,6.00929,6.00929,0.157001,0.612958,2.29697,0.30936,1.8393,8.18423,0.263569,0.908518,3.07922,0.332537,1.59253,6.3492,0.000539667,0.043812,0.84754,0.000626667,0.0487533,1.85265
Uniform_by_x,KdTree,0.1,0.859614,1.46196,0.065397,5.91886,14.6196,0.164485,0.646402,2.35449,0.336368,1.94787,8.46443,0.278452,0.941372,3.14046,0.35753,1.67611,6.53826,0.000605667,0.0460783,0.869126,0.000679,0.051968,1.85053
Uniform_by_x,KdTree,0.01,0.178997,0.285035,0.00633967,5.57128,28.5036,0.165103,0.647818,2.36535,0.278217,1.71189,7.58915,0.280477,0.943408,3.14214,0.302713,1.48096,5.8459,0.00245067,0.0471523,0.859978,0.000981,0.0519933,1.81676
Uniform_by_x,KdTree,0.001,0.0219677,0.0379704,0.00107067,5.56138,37.9709,0.166821,0.648233,2.36922,0.195941,0.912086,3.63891,0.27983,0.944881,3.14682,0.201348,0.7836,2.86159,0.000595,0.0477633,0.872497,0.000671,0.0520323,1.82455
Uniform_by_x,KdTree,0.0001,0.00449067,0.0065764,8.53333e-05,5.60007,65.7689,0.166904,0.646929,2.37228,0.117495,0.345893,1.50606,0.279366,0.944529,3.15058,0.117449,0.336989,1.56314,0.000613333,0.0460457,0.867453,0.00101433,0.050116,1.83011
Uniform_by_x,OrthTree,1.0,6.61689,6.61689,6.61689,6.61689,6.61689,0.184572,0.631336,2.39416,0.340727,1.36976,5.24023,0.311475,0.953678,3.21801,0.340377,1.16689,4.03358,0.000963333,0.0547373,0.872982,0.000785333,0.0583773,2.01637
Uniform_by_x,OrthTree,0.1,0.441721,0.430283,0.227412,0.549613,4.30284,0.181032,0.606588,2.33994,0.378729,1.78541,7.799,0.302028,0.870318,3.00955,0.380675,1.53829,6.12166,0.00120967,0.049384,0.819151,0.000720333,0.0531753,1.93159
Uniform_by_x,OrthTree,0.01,0.0515323,0.0514672,0.0238457,0.0628397,5.14677,0.194399,0.628603,2.41464,0.391167,1.86302,8.04471,0.308521,0.886532,3.0505,0.395881,1.60358,6.30441,0.000881667,0.0494767,0.826158,0.000781333,0.0538993,1.88085
Uniform_by_x,OrthTree,0.001,0.005471,0.00592674,0.001077,0.012795,5.92724,0.198738,0.655392,2.47571,0.406187,1.94318,8.30282,0.316118,0.903251,3.08715,0.412348,1.67098,6.49669,0.000886333,0.0505277,0.834658,0.000758333,0.056202,1.81617
Uniform_by_x,OrthTree,0.0001,0.00219767,0.00211326,0.000154,0.00328133,21.1376,0.204199,0.665502,2.51353,0.411983,1.98281,8.43657,0.316745,0.898234,3.05046,0.418878,1.70366,6.59391,0.000881,0.0514363,0.830584,0.000812,0.0572373,1.80206
Uniform_by_x,ZdTree,1.0,5.36202,5.36202,5.36202,5.36202,5.36202,0.163183,0.307762,1.21668,0.112943,0.290098,2.07083,0.298058,0.498777,1.68637,0.112624,0.259721,1.84634,0.000516333,0.004171,0.139601,0.000597,0.009884,1.59212
Uniform_by_x,ZdTree,0.1,0.355219,0.355525,0.34297,0.37539,3.55526,0.16576,0.305983,1.24201,0.122154,0.309243,2.12077,0.295003,0.497918,1.67246,0.118792,0.275841,1.88949,0.000433333,0.00362167,0.136522,0.000592333,0.009856,1.58773
Uniform_by_x,ZdTree,0.01,0.0425387,0.0437836,0.03698,0.055948,4.37841,0.163987,0.305056,1.22135,0.123702,0.310377,2.13142,0.294177,0.495976,1.65153,0.120176,0.276046,1.89568,0.000662333,0.00361733,0.129622,0.000589,0.00960367,1.60012
Uniform_by_x,ZdTree,0.001,0.0101763,0.0117367,0.00480867,0.0418767,11.7372,0.167706,0.317106,1.24311,0.11857,0.31136,2.13985,0.293975,0.496086,1.62703,0.119801,0.275926,1.90882,0.000357,0.003681,0.123081,0.000556333,0.009804,1.54247
Uniform_by_x,ZdTree,0.0001,0.00196033,0.00280821,0.000991667,0.0230503,28.0871,0.167571,0.31809,1.24904,0.118849,0.308369,2.15038,0.296445,0.497061,1.63152,0.120033,0.275123,1.92138,0.000433333,0.00374333,0.120292,0.000512,0.010097,1.41515
Varden,PTree-H,1.0,3.38161,3.38161,3.38161,3.38161,3.38161,0.832152,2.32979,10.1011,0.589957,1.58397,7.14421,4.79631,10.1889,24.1176,4.54617,9.26333,22.1879,0.000902667,0.00765533,0.825491,0.000900667,0.013157,1.83853
Varden,PTree-H,0.1,0.436277,0.404897,0.268344,0.504262,4.04898,0.651179,1.84638,8.15598,0.466767,1.24149,5.51379,4.15784,8.74816,20.7413,4.0342,8.093,19.3388,0.000986333,0.00864933,0.845595,0.00104167,0.014036,1.97161
Varden,PTree-H,0.01,0.0578123,0.0532293,0.0267003,0.071539,5.32298,0.675585,1.8952,8.4479,0.485919,1.27272,5.61422,4.28861,9.00249,21.4155,4.19035,8.4077,20.1647,0.00105833,0.008905,0.848927,0.00102867,0.014401,1.97209
Varden,PTree-H,0.001,0.00716033,0.00666054,0.00335967,0.0110123,6.66105,0.666719,1.87265,8.28618,0.477299,1.26645,5.61028,4.31544,9.09819,21.7036,4.22297,8.50531,20.423,0.00102633,0.00898533,0.833361,0.00105167,0.0142903,1.96554
