benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform_by_x,PTree,1.0,3.28693,3.28693,3.28693,3.28693,3.28694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.29829,0.297822,0.29506,0.302923,2.97823,0.606734,1.01626,2.75019,0.256952,0.723812,3.38415,1.78052,2.82053,6.27945,0.258253,0.73023,3.37394
Uniform_by_x,PTree,0.01,0.03066,0.0306665,0.0300273,0.031843,3.06671,0.754257,1.17262,2.78355,0.255679,0.695774,3.02411,1.72333,2.70994,6.20717,0.261372,0.690292,3.0091
Uniform_by_x,PTree,0.001,0.004039,0.00407787,0.00376333,0.00581067,4.07836,0.66662,1.05357,2.65343,0.271927,0.699816,3.29029,1.79377,2.81206,6.41985,0.280119,0.690567,3.26272
Uniform_by_x,PTree,0.0001,0.000885,0.000894019,0.000757333,0.00190733,8.94519,0.781687,1.26523,3.26133,0.450555,0.967588,4.97997,2.10744,3.80465,12.3027,0.494117,0.95466,5.4393
Uniform_by_x,KdTree,1.0,4.74305,4.74305,4.74305,4.74305,4.74305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,KdTree,0.1,1.44369,1.38558,0.342188,2.90595,13.8558,0.119298,0.25378,1.01299,0.10246,0.466608,2.21128,0.231377,0.409052,1.33276,0.10165,0.408147,1.86949
Uniform_by_x,KdTree,0.01,0.224607,0.23828,0.0422707,0.582932,23.8281,0.123861,0.253631,1.03887,0.122645,0.51021,2.31004,0.233097,0.412867,1.33993,0.122397,0.439871,1.94553
Uniform_by_x,KdTree,0.001,0.0359763,0.0353922,0.00415133,0.0596993,35.3927,0.130048,0.272596,1.03788,0.146339,0.71977,2.9799,0.232572,0.416812,1.35243,0.148306,0.61506,2.47388
Uniform_by_x,KdTree,0.0001,0.004138,0.00422985,0.000767,0.009341,42.3035,0.147023,0.331311,1.41472,0.153477,1.60199,8.54297,0.234337,0.487138,1.77282,0.159809,1.47301,6.98512
Uniform_by_x,OrthTree,1.0,4.62955,4.62955,4.62955,4.62955,4.62955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,OrthTree,0.1,0.547597,0.544389,0.423227,0.682428,5.4439,0.103377,0.212976,0.946913,0.04476,0.0932533,1.20496,0.199064,0.34778,1.23821,0.044264,0.100082,1.28523
Uniform_by_x,OrthTree,0.01,0.0564683,0.0568685,0.04438,0.0778533,5.6869,0.105926,0.216754,0.940271,0.045661,0.0952153,1.23752,0.203599,0.352406,1.24943,0.0451777,0.101664,1.31797
Uniform_by_x,OrthTree,0.001,0.00567167,0.00574843,0.004478,0.00825667,5.74892,0.106578,0.220713,0.955027,0.0460903,0.0953273,1.25442,0.205157,0.35542,1.25355,0.0455967,0.102174,1.325
Uniform_by_x,OrthTree,0.0001,0.000935,0.000942239,0.000739667,0.00218867,9.42742,0.110437,0.216046,0.94894,0.046369,0.0960697,1.25423,0.205864,0.35121,1.21899,0.0458637,0.101371,1.3306
Varden,PTree,1.0,3.05935,3.05935,3.05935,3.05935,3.05935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,PTree,0.1,0.271551,0.272285,0.261773,0.285959,2.72286,0.514214,1.25198,6.71378,0.36133,0.754628,3.94107,2.11599,3.58443,9.27797,0.763132,1.67932,7.03129
Varden,PTree,0.01,0.0289393,0.0293645,0.027264,0.033435,2.93651,0.483718,1.44411,7.79726,0.327562,0.728791,4.64529,2.22499,3.79163,9.48788,0.8006,1.5919,5.79545
Varden,PTree,0.001,0.00409867,0.00413989,0.00360767,0.00545467,4.14039,0.459354,1.37587,7.08866,0.261804,0.513267,2.97417,2.26133,3.80899,9.24906,0.845309,1.53595,5.41779
Varden,PTree,0.0001,0.000903333,0.000912798,0.000716,0.002885,9.13298,0.488126,1.44824,7.39801,0.293293,0.591544,3.29459,2.30409,3.95532,9.69777,0.830736,1.70612,6.25432
Varden,KdTree,1.0,5.82912,5.82912,5.82912,5.82912,5.82912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,KdTree,0.1,0.986398,1.14418,0.443686,2.68362,11.4418,0.051467,0.10525,0.511826,0.108554,0.168956,0.986433,0.232799,0.41055,1.33228,0.226623,0.393049,1.64629
Varden,KdTree,0.01,0.111599,0.177065,0.046173,2.49207,17.7066,0.0511903,0.104333,0.515608,0.111507,0.176349,1.25592,0.233385,0.412368,1.33862,0.226334,0.393412,1.68043
