benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,S,M,L,S,M,L
Uniform_by_x,PTree,1.0,3.32396,3.32396,3.32396,3.32396,3.32396,0.466377,0.854544,2.57024,0.227399,0.661111,2.56416,1.1497,2.09149,5.28546,0.234966,0.619242,2.37633,0.000395333,0.00382067,0.155994,0.000661667,0.00977933,1.19292
Uniform_by_x,PTree,0.1,0.299523,0.298497,0.295157,0.30102,2.98497,0.411507,0.803623,2.60335,0.235286,0.647232,2.40602,1.14038,2.06939,5.50804,0.243817,0.604188,2.22451,0.000374,0.00397733,0.159043,0.000582,0.00994967,1.20393
Uniform_by_x,PTree,0.01,0.0306677,0.0309201,0.0300127,0.0354773,3.09206,0.482668,0.802983,2.20835,0.227969,0.639952,2.31112,1.05943,1.87951,4.99493,0.23431,0.592284,2.09287,0.000393667,0.00423033,0.162122,0.000672333,0.010134,1.2282
Uniform_by_x,PTree,0.001,0.00404167,0.0041185,0.00380167,0.006228,4.119,0.456827,0.827178,2.57256,0.243197,0.666761,2.38429,1.12352,2.03094,5.5535,0.246491,0.613483,2.14824,0.000395667,0.004481,0.157607,0.000553667,0.0101563,1.28261
Uniform_by_x,PTree,0.0001,0.000867,0.000884476,0.000738333,0.005107,8.84979,0.508644,1.04495,3.66594,0.310707,0.797347,2.83446,1.36601,3.04323,10.2175,0.321935,0.744715,2.65852,0.000452,0.00471433,0.162163,0.000664667,0.0103923,1.2943
Uniform_by_x,KdTree,1.0,5.15728,5.15728,5.15728,5.15728,5.15728,0.118317,0.243248,0.992297,0.0976993,0.435053,2.09131,0.22414,0.398076,1.30674,0.0989607,0.380028,1.76989,0.000383667,0.00459233,0.0932553,0.000456333,0.00774367,1.1071
Uniform_by_x,KdTree,0.1,1.39454,1.37388,0.379797,3.13196,13.7388,0.120532,0.256409,1.02412,0.105409,0.466269,2.21479,0.232204,0.410808,1.33595,0.105007,0.407117,1.86653,0.000338333,0.00479,0.0975263,0.000435,0.00794833,1.07663
Uniform_by_x,KdTree,0.01,0.229033,0.239733,0.0490087,0.50244,23.9734,0.124522,0.25554,1.03125,0.125984,0.510793,2.30438,0.234146,0.415752,1.34102,0.124052,0.438005,1.95023,0.000932667,0.00483767,0.097069,0.000480333,0.00799367,1.06672
Uniform_by_x,KdTree,0.001,0.0363383,0.0358356,0.004097,0.061028,35.8361,0.134183,0.273582,1.04465,0.155432,0.719195,2.97769,0.233484,0.418221,1.35638,0.15312,0.614969,2.47562,0.00117267,0.00484167,0.0986963,0.000512667,0.00777433,1.06306
Uniform_by_x,KdTree,0.0001,0.003904,0.00399138,0.000874667,0.0105353,39.9188,0.149903,0.331408,1.41218,0.163266,1.61081,8.54193,0.235131,0.489631,1.77961,0.166832,1.48482,6.99026,0.00114367,0.00409967,0.108039,0.000464,0.007356,1.08503
Uniform_by_x,OrthTree,1.0,4.63208,4.63208,4.63208,4.63208,4.63208,0.0987617,0.220373,0.958692,0.101728,0.37304,1.64146,0.203815,0.369071,1.29829,0.101075,0.324564,1.39431,0.000382333,0.006482,0.097919,0.000457667,0.00950233,1.21666
Uniform_by_x,OrthTree,0.1,0.552143,0.528538,0.45287,0.58998,5.28539,0.104259,0.211576,0.940871,0.0377223,0.322236,2.21587,0.198423,0.34604,1.24238,0.0514703,0.335632,1.99808,0.000382667,0.005062,0.073045,0.000463,0.008728,1.15495
Uniform_by_x,OrthTree,0.01,0.0562527,0.056669,0.0482593,0.0835457,5.66695,0.108659,0.21835,0.955553,0.0392847,0.329318,2.25441,0.204209,0.352078,1.2531,0.0507167,0.342902,2.02907,0.000383667,0.0052,0.0729647,0.000431667,0.00808,1.07786
Uniform_by_x,OrthTree,0.001,0.005627,0.00572028,0.00454367,0.00869133,5.72078,0.109131,0.221196,0.968256,0.0382603,0.331805,2.26371,0.20701,0.35664,1.2595,0.0509833,0.345641,2.04219,0.000400333,0.00507,0.0737993,0.000431667,0.008219,1.05577
Uniform_by_x,OrthTree,0.0001,0.000925667,0.000939922,0.000747667,0.00464533,9.40421,0.109256,0.226893,0.960103,0.0392467,0.33256,2.29525,0.207716,0.352723,1.22703,0.051064,0.34715,2.07122,0.000388667,0.005222,0.0739563,0.000440667,0.00805633,1.01189
Varden,PTree,1.0,3.08969,3.08969,3.08969,3.08969,3.08969,0.505931,2.23753,13.3071,0.283858,0.565426,3.57708,1.29248,2.69576,8.71075,0.183445,0.391301,2.50004,0.000522,0.002169,0.10337,0.000707,0.00845733,1.15022
Varden,PTree,0.1,0.271016,0.270701,0.267381,0.273952,2.70701,0.533919,2.16685,14.3231,0.291546,0.528225,3.66736,1.26855,2.64199,9.0516,0.19817,0.469465,3.67629,0.000505333,0.00231567,0.105366,0.000669,0.008581,1.18572
Varden,PTree,0.01,0.029392,0.0295444,0.0276583,0.0332027,2.95449,0.490707,1.46158,10.7587,0.199105,0.408175,2.41039,1.39567,2.83774,9.20463,0.271771,0.661942,4.13915,0.000554667,0.00239267,0.10446,0.000780333,0.00875467,1.20393
Varden,PTree,0.001,0.00411233,0.00417602,0.00356433,0.009092,4.17652,0.483216,1.85641,12.0215,0.299284,0.580064,3.7423,1.42186,2.90375,8.93253,0.191051,0.498197,3.6164,0.000588,0.00247733,0.107066,0.00081,0.009229,1.22949
Varden,PTree,0.0001,0.000908333,0.000922066,0.000736333,0.00462333,9.22566,0.562933,2.2604,15.082,0.272032,0.493538,3.08333,1.45184,3.07895,9.84492,0.202397,0.410571,2.09252,0.000584,0.002445,0.107286,0.000834667,0.008436,1.2282
Varden,KdTree,1.0,6.10325,6.10325,6.10325,6.10325,6.10325,0.0517917,0.109592,0.523714,0.412386,0.632215,5.49649,0.223235,0.396668,1.29686,0.104253,0.167737,1.18663,0.000698333,0.00240833,0.0596457,0.000419667,0.00675467,1.06892
Varden,KdTree,0.1,0.979041,1.27977,0.449258,3.18654,12.7977,0.0518637,0.108846,0.526556,0.334952,0.581776,4.71233,0.232571,0.410194,1.32887,0.116582,0.187793,1.22232,0.00113033,0.002585,0.063568,0.000462667,0.006679,1.0392
Varden,KdTree,0.01,0.129943,0.252318,0.054179,1.7866,25.2318,0.0536317,0.109357,0.528704,0.326887,0.50798,3.8114,0.234721,0.412796,1.33974,0.146556,0.228692,1.6455,0.00109933,0.00264867,0.0637217,0.000433667,0.00665367,1.03039
