solver,split,benchType,nodes,dims,time,vis,gen,check,skip,time,vis,gen,check,skip,time,vis,gen,check,skip
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,0.15871,26.0,25.0,25.0,25.0,0.30783,32.0,29.0,29.0,27.0,1.09689,56.0,43.0,43.0,32.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,0.1554,26.0,25.0,25.0,25.0,0.30682,32.0,29.0,29.0,27.0,1.13516,56.0,43.0,43.0,31.0
orth,Rot/SpaMid,uniform_bigint,1000M,2,0.11913,27.0,26.0,26.0,26.0,0.26459,34.0,31.0,31.0,28.0,1.13023,68.0,51.0,51.0,34.0
kdtree,MaxStr/Obj,uniform_bigint,1000M,3,0.1759,26.0,25.0,25.0,25.0,0.68769,46.0,40.0,40.0,34.0,2.47276,103.0,76.0,76.0,50.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,3,0.16901,26.0,25.0,25.0,25.0,0.69279,46.0,39.0,39.0,34.0,2.54292,104.0,76.0,76.0,49.0
orth,Rot/SpaMid,uniform_bigint,1000M,3,0.11291,27.0,26.0,26.0,26.0,0.6181,64.0,52.0,52.0,41.0,2.76874,189.5,129.0,129.0,70.0
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,0.04131,26.0,25.0,25.0,25.0,0.0932,31.0,28.0,28.0,26.0,0.45036,50.5,39.0,39.0,28.0
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,0.06449,47.5,46.0,46.0,46.0,0.11838,52.5,50.0,50.0,48.0,0.44491,73.5,61.5,61.5,50.5
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,0.07511,48.0,47.0,47.0,46.5,0.12762,54.0,50.5,50.5,48.5,0.46634,81.0,65.5,65.5,52.0
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,3,0.04665,26.0,25.0,25.0,25.0,0.14385,39.0,33.0,33.0,28.0,0.62909,68.0,48.5,48.5,30.0
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,3,0.10297,69.0,68.0,68.0,68.0,0.19281,83.0,78.0,78.0,73.0,0.58013,114.0,96.0,96.0,78.5
orth,Rot/SpaMid,ss_varden_bigint,1000M,3,0.11673,70.5,69.0,69.0,69.0,0.21885,93.0,85.0,85.0,77.0,0.67138,159.5,121.0,121.0,84.0
