____________________________________________________________________________________________________
=> zmen002 @ gazelle: ~/KDtree/script                                                       main [!]
$ python3 osm.py | tee log.in
finish read file
osm size is 1298823294
         year 2014       month 1 has 5974726 records
         year 2014       month 2 has 12543855 records
         year 2014       month 3 has 11520443 records
         year 2014       month 4 has 4493306 records
         year 2014       month 5 has 5931993 records
         year 2014       month 6 has 4840472 records
         year 2014       month 7 has 7163240 records
         year 2014       month 8 has 10740964 records
         year 2014       month 9 has 5803304 records
         year 2014       month 10 has 7498829 records
         year 2014       month 11 has 8268766 records
         year 2014       month 12 has 3977516 records
         year 2015       month 1 has 6993103 records
         year 2015       month 2 has 7253579 records
         year 2015       month 3 has 8009644 records
         year 2015       month 4 has 9918695 records
         year 2015       month 5 has 6908395 records
         year 2015       month 6 has 8355499 records
         year 2015       month 7 has 4920533 records
         year 2015       month 8 has 5707692 records
         year 2015       month 9 has 5052138 records
         year 2015       month 10 has 4848826 records
         year 2015       month 11 has 7456329 records
         year 2015       month 12 has 6289310 records
         year 2016       month 1 has 4574406 records
         year 2016       month 2 has 5691093 records
         year 2016       month 3 has 7608964 records
         year 2016       month 4 has 11971552 records
         year 2016       month 5 has 5419663 records
         year 2016       month 6 has 6877310 records
         year 2016       month 7 has 12355227 records
         year 2016       month 8 has 6843688 records
         year 2016       month 9 has 8511028 records
         year 2016       month 10 has 4058489 records
         year 2016       month 11 has 5221684 records
         year 2016       month 12 has 4261765 records
         year 2017       month 1 has 14679194 records
         year 2017       month 2 has 14303198 records
         year 2017       month 3 has 5207044 records
         year 2017       month 4 has 4160435 records
         year 2017       month 5 has 3807232 records
         year 2017       month 6 has 4118685 records
         year 2017       month 7 has 5794579 records
         year 2017       month 8 has 3902702 records
         year 2017       month 9 has 10119235 records
         year 2017       month 10 has 6122530 records
         year 2017       month 11 has 4001506 records
         year 2017       month 12 has 6834824 records
         year 2018       month 1 has 6974691 records
         year 2018       month 2 has 9517977 records
         year 2018       month 3 has 6906037 records
         year 2018       month 4 has 7304566 records
         year 2018       month 5 has 8132035 records
         year 2018       month 6 has 6240602 records
         year 2018       month 7 has 7893340 records
         year 2018       month 8 has 10984845 records
         year 2018       month 9 has 6908032 records
         year 2018       month 10 has 7784522 records
         year 2018       month 11 has 9924582 records
         year 2018       month 12 has 10286490 records
         year 2019       month 1 has 15365326 records
         year 2019       month 2 has 9966391 records
         year 2019       month 3 has 10309649 records
         year 2019       month 4 has 6782931 records
         year 2019       month 5 has 9135013 records
         year 2019       month 6 has 6891469 records
         year 2019       month 7 has 9921724 records
         year 2019       month 8 has 11044534 records
         year 2019       month 9 has 7186701 records
         year 2019       month 10 has 9532460 records
         year 2019       month 11 has 11786033 records
         year 2019       month 12 has 11227151 records
         year 2020       month 1 has 11650449 records
         year 2020       month 2 has 11803574 records
         year 2020       month 3 has 14036694 records
         year 2020       month 4 has 15680968 records
         year 2020       month 5 has 14421614 records
         year 2020       month 6 has 14101136 records
         year 2020       month 7 has 27253281 records
         year 2020       month 8 has 16535648 records
         year 2020       month 9 has 16254539 records
         year 2020       month 10 has 16152069 records
         year 2020       month 11 has 15510300 records
         year 2020       month 12 has 16643780 records
         year 2021       month 1 has 16194018 records
         year 2021       month 2 has 14850362 records
         year 2021       month 3 has 15873799 records
         year 2021       month 4 has 16292844 records
         year 2021       month 5 has 16956883 records
         year 2021       month 6 has 14432051 records
         year 2021       month 7 has 12485207 records
         year 2021       month 8 has 12992229 records
         year 2021       month 9 has 10924048 records
         year 2021       month 10 has 11516377 records
         year 2021       month 11 has 13361748 records
         year 2021       month 12 has 13195707 records
         year 2022       month 1 has 14845651 records
         year 2022       month 2 has 12716520 records
         year 2022       month 3 has 19708549 records
         year 2022       month 4 has 11862501 records
         year 2022       month 5 has 14897390 records
         year 2022       month 6 has 10943547 records
         year 2022       month 7 has 12232071 records
         year 2022       month 8 has 12912429 records
         year 2022       month 9 has 14067481 records
         year 2022       month 10 has 18435186 records
         year 2022       month 11 has 16499477 records
         year 2022       month 12 has 15580510 records
         year 2023       month 1 has 18606046 records
         year 2023       month 2 has 14970574 records
         year 2023       month 3 has 15316548 records
         year 2023       month 4 has 21615398 records
         year 2023       month 5 has 21273317 records
         year 2023       month 6 has 19747985 records
         year 2023       month 7 has 12256494 records
         year 2023       month 8 has 15613942 records
         year 2023       month 9 has 12115208 records
         year 2023       month 10 has 11753291 records
         year 2023       month 11 has 11706985 records
         year 2023       month 12 has 34233397 records
         year 2024       month 1 has 869181 records
 
