$ python3 osm.py | tee log.in
finish read file
osm size is 1298823294
         year 2014 has 88757414 records
         year 2015 has 81713743 records
         year 2016 has 83394869 records
         year 2017 has 83051164 records
         year 2018 has 98857719 records
         year 2019 has 119149382 records
         year 2020 has 190044052 records
         year 2021 has 169075273 records
         year 2022 has 174701312 records
         year 2023 has 209209185 records
         year 2024 has 869181 records
