benchmark,order,leaf_wrap,time
Uniform,RAND,1,14.6485
Uniform,SORT,1,14.6433
Uniform,RAND,2,14.5536
Uniform,SORT,2,14.1878
Uniform,RAND,4,14.6071
Uniform,SORT,4,14.1429
Uniform,RAND,16,19.3568
Uniform,SORT,16,17.503
Uniform,RAND,32,24.2743
Uniform,SORT,32,18.5399
Uniform,RAND,64,32.0597
Uniform,SORT,64,20.1926
Uniform,RAND,128,47.3359
Uniform,SORT,128,21.1935
Uniform,RAND,512,129.365
Uniform,SORT,512,21.7987
Uniform,RAND,1024,232.316
Uniform,SORT,1024,21.0785
Varden,RAND,1,14.6803
Varden,SORT,1,14.664
Varden,RAND,2,14.5216
Varden,SORT,2,14.1748
Varden,RAND,4,14.588
Varden,SORT,4,14.0386
Varden,RAND,16,19.3198
Varden,SORT,16,17.4703
Varden,RAND,32,24.1705
Varden,SORT,32,19.0245
Varden,RAND,64,32.0006
Varden,SORT,64,20.2787
Varden,RAND,128,47.4695
Varden,SORT,128,20.9547
Varden,RAND,512,128.057
Varden,SORT,512,21.0083
Varden,RAND,1024,232.921
Varden,SORT,1024,21.0928
