benchmark,solver,type,size,time
Uniform_by_x,PTree-H,0,56,2.600000e-05
Uniform_by_x,PTree-H,0,10,3.000000e-06
Uniform_by_x,PTree-H,0,46,4.000000e-06
Uniform_by_x,PTree-H,0,19,3.000000e-06
Uniform_by_x,PTree-H,0,27,3.000000e-06
Uniform_by_x,PTree-H,0,98,5.000000e-06
Uniform_by_x,PTree-H,0,24,1.000000e-06
Uniform_by_x,PTree-H,0,74,3.000000e-06
Uniform_by_x,PTree-H,0,12,2.000000e-06
Uniform_by_x,PTree-H,0,62,2.000000e-06
Uniform_by_x,PTree-H,0,38,2.000000e-06
Uniform_by_x,PTree-H,0,24,1.000000e-06
Uniform_by_x,PTree-H,0,68,3.000000e-06
Uniform_by_x,PTree-H,0,63,2.000000e-06
Uniform_by_x,PTree-H,0,7,2.000000e-06
Uniform_by_x,PTree-H,0,56,2.000000e-06
Uniform_by_x,PTree-H,0,31,2.000000e-06
Uniform_by_x,PTree-H,0,25,2.000000e-06
Uniform_by_x,PTree-H,0,5,1.000000e-06
Uniform_by_x,PTree-H,0,18,4.000000e-06
Uniform_by_x,PTree-H,0,49,2.400000e-05
Uniform_by_x,PTree-H,0,29,6.000000e-06
Uniform_by_x,PTree-H,0,20,6.000000e-06
Uniform_by_x,PTree-H,0,61,7.000000e-06
Uniform_by_x,PTree-H,0,52,5.000000e-06
Uniform_by_x,PTree-H,0,23,4.000000e-06
Uniform_by_x,PTree-H,0,29,5.000000e-06
Uniform_by_x,PTree-H,0,9,2.000000e-06
Uniform_by_x,PTree-H,0,37,5.000000e-06
Uniform_by_x,PTree-H,0,18,5.000000e-06
Uniform_by_x,PTree-H,0,58,8.000000e-06
Uniform_by_x,PTree-H,0,47,4.000000e-06
Uniform_by_x,PTree-H,0,38,3.000000e-06
Uniform_by_x,PTree-H,0,9,3.000000e-06
Uniform_by_x,PTree-H,0,11,3.000000e-06
Uniform_by_x,PTree-H,0,50,4.000000e-06
Uniform_by_x,PTree-H,0,12,2.000000e-06
Uniform_by_x,PTree-H,0,38,3.000000e-06
Uniform_by_x,PTree-H,0,52,8.000000e-06
Uniform_by_x,PTree-H,0,19,5.000000e-06
Uniform_by_x,PTree-H,0,33,5.000000e-06
Uniform_by_x,PTree-H,0,22,5.000000e-06
Uniform_by_x,PTree-H,0,97,5.000000e-06
Uniform_by_x,PTree-H,0,47,2.000000e-06
Uniform_by_x,PTree-H,0,34,1.000000e-06
Uniform_by_x,PTree-H,0,13,2.000000e-06
Uniform_by_x,PTree-H,0,50,2.000000e-06
Uniform_by_x,PTree-H,0,44,2.000000e-06
Uniform_by_x,PTree-H,0,16,2.000000e-06
Uniform_by_x,PTree-H,0,28,2.000000e-06
