bench,nodes,dims,solver,split,build,maxDepth,aveDepth
Cosmo50,321M,3,kd,Rot/SpaMid,1.87635,103,27.587
Cosmo50,321M,3,kd,MaxStr/Obj,1.66769,27,23.9338
Cosmo50,321M,3,orth,Rot/SpaMid,1.65632,35,9.61651
GeoLifeNoScale,24M,3,kd,Rot/SpaMid,0.30782,86,52.2308
GeoLifeNoScale,24M,3,kd,MaxStr/Obj,0.28973,47,24.3082
GeoLifeNoScale,24M,3,orth,Rot/SpaMid,0.292574,29,18.0925
Household,2.04M,7,kd,Rot/SpaMid,0.0317447,85,45.14
Household,2.04M,7,kd,MaxStr/Obj,0.056357,50,25.5784
Household,2.04M,7,orth,Rot/SpaMid,0.0435247,13,7.6189
osm,1298M,2,kd,Rot/SpaMid,7.73155,42,34.0891
osm,1298M,2,kd,MaxStr/Obj,5.7235,40,26.0096
osm,1298M,2,orth,Rot/SpaMid,7.24565,21,17.3257
