bench,nodes,dims,solver,split,time,vis,gen,full,skip,time,vis,gen,full,skip,time,vis,gen,full,skip
Cosmo50,321M,3,kd,Rot/SpaMid,0.00237667,102.032,80.7413,6e-05,60.4504,0.03606,877.102,585.76,1.6932,293.724,1.01344,9316.67,5762.21,534.851,1673.89
Cosmo50,321M,3,kd,MaxStr/Obj,0.00233033,96.9787,77.0599,0,58.1411,0.0363147,837.373,560.349,1.26694,283.057,0.860808,7635.59,4721.85,447.958,1361.16
Cosmo50,321M,3,orth,Rot/SpaMid,0.00257267,128.558,100.781,0.00022,74.0037,0.0383147,1290.87,843.407,4.31182,392.629,1.02832,14191.2,8868.58,975.906,2571.08
GeoLifeNoScale,24M,3,kd,Rot/SpaMid,0.000634667,46.4897,43.713,0.00162,41.9346,0.00368833,214.079,164.416,1.10338,114.649,0.344765,4982.83,3128,291.106,983.059
GeoLifeNoScale,24M,3,kd,MaxStr/Obj,0.00122933,49.0241,41.4791,0.0001,34.934,0.00419233,189.552,131.647,0.1167,74.6252,0.44786,5930.29,3669.35,185.257,1224.15
GeoLifeNoScale,24M,3,orth,Rot/SpaMid,0.000663333,49.3359,45.9607,0.0079,43.5777,0.00410167,285.383,217.377,4.2995,146.073,0.378528,7842.09,5098.62,714.977,1641.17
Household,2.04M,7,kd,Rot/SpaMid,0.000991667,64.0302,61.9804,0,60.9305,0.00503467,238.069,213.703,0,190.337,0.429411,4665.86,3086.88,10.74,1498.16
Household,2.04M,7,kd,MaxStr/Obj,0.00136,99.4272,72.0844,0,45.7417,0.00907933,338.928,219.727,0,101.526,0.699541,5080.58,2889.08,7.73118,690.851
Household,2.04M,7,orth,Rot/SpaMid,0.00117767,74.2822,71.9499,0,70.6176,0.00801,421.351,382.468,0,344.585,0.902584,24107.6,16376.6,188.479,8458.23
osm,1298M,2,kd,Rot/SpaMid,0.000476,40.9282,38.1565,0.01598,36.3689,0.002708,139.076,104.358,6.72802,63.9122,0.0968287,1963.1,1372.66,338.061,445.167
osm,1298M,2,kd,MaxStr/Obj,0.000493667,36.1892,32.4288,0.00972,29.6586,0.00269667,129.469,91.404,5.4942,48.8443,0.087912,1694.92,1205.36,303.358,413.447
osm,1298M,2,orth,Rot/SpaMid,0.000500333,41.949,39.134,0.02852,37.2904,0.00270467,148.037,111.034,8.44814,66.5817,0.086215,2205.96,1570.16,412.239,523.117
