bench,nodes,dims,solver,split,time,vis,gen,check,skip,time,vis,gen,check,skip,time,vis,gen,check,skip
Cosmo50,321M,3,kd,Rot/SpaMid,0.0279007,24.7401,23.74,23.74,23.7398,0.113086,47.046,39.6782,39.6782,33.3104,0.456415,105.883,76.9352,76.9352,48.9873
Cosmo50,321M,3,kd,MaxStr/Obj,0.027609,24.9825,23.9362,23.9362,23.89,0.10926,46.5893,39.5012,39.5012,33.4131,0.44896,102.696,75.1996,75.1996,48.7033
Cosmo50,321M,3,orth,Rot/SpaMid,0.024728,25.5598,24.5596,24.5596,24.5594,0.104806,56.6535,46.4158,46.4158,37.1781,0.450595,150.337,104.446,104.446,59.5547
GeoLifeNoScale,24M,3,kd,Rot/SpaMid,0.00286767,60.4863,59.485,59.485,59.4838,0.00797733,82.5728,73.7981,73.7981,66.0234,0.0644777,164.879,121.11,121.11,78.3406
GeoLifeNoScale,24M,3,kd,MaxStr/Obj,0.00255033,44.7381,38.9045,38.9045,34.0709,0.00504367,56.4094,46.8251,46.8251,38.2408,0.031387,97.4047,72.3856,72.3856,48.3665
GeoLifeNoScale,24M,3,orth,Rot/SpaMid,0.00303867,61.7566,60.7551,60.7551,60.7535,0.00756133,93.2898,82.8924,82.8924,73.4951,0.072101,241.32,171.305,171.305,102.29
Household,2.04M,7,kd,Rot/SpaMid,0.000352333,41.9499,40.9397,40.9397,40.9294,0.00538933,241.225,192.066,192.066,143.907,0.018245,789.098,564.009,564.009,339.92
Household,2.04M,7,kd,MaxStr/Obj,0.000587333,81.4186,65.8936,65.8936,51.3685,0.00197633,142.932,104.938,104.938,67.9443,0.00681733,298.612,198.102,198.102,98.5926
Household,2.04M,7,orth,Rot/SpaMid,0.000371,45.982,44.9701,44.9701,44.9582,0.007296,644.798,497.138,497.138,350.478,0.0346823,3473.48,2327.02,2327.02,1181.57
osm,1298M,2,kd,Rot/SpaMid,0.0774363,31.9661,30.9661,30.9661,30.966,0.141669,36.5654,33.9564,33.9564,32.3473,0.675639,63.8011,49.7096,49.7096,36.618
osm,1298M,2,kd,MaxStr/Obj,0.074088,27.9661,26.6081,26.6081,26.2501,0.140052,32.267,29.3781,29.3781,27.4892,0.742252,56.0236,43.4097,43.4097,31.7958
osm,1298M,2,orth,Rot/SpaMid,0.0813017,32.439,31.4389,31.4389,31.4389,0.148086,38.2314,35.1448,35.1448,33.0582,0.723239,74.4366,55.7535,55.7535,38.0704
