benchmark,solver,op,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
GeoLife,PTree-H,Insert,1.0,0.00150433,0.00150433,0.00150433,0.00150433,0.00150433,0.000695667,0.000317,0.001039,0.000150667,0.000261333,0.000873333,0.000147,0.000275667,0.000924667,0.000155333,0.000254333,0.000910667,0.000479667,0.00711333,0.102565,0.000508667,0.008884,0.537229
GeoLife,PTree-H,Insert,0.0001,2.3e-05,2.29056e-05,5.33333e-06,0.000273667,0.23968,0.000161,0.000274333,0.000960667,0.000145667,0.000263667,0.000849,0.000144667,0.000273,0.000896333,0.000159,0.000282,0.000942,0.000472667,0.00730433,0.107723,0.000479333,0.008916,0.539633
GeoLife,PTree-H,Delete,0.0001,1.16667e-05,1.28353e-05,3e-06,6.46667e-05,0.136552,0.000972333,0.000324,0.00134833,0.000151667,0.000271,0.000949667,0.000183667,0.000273667,0.000899,0.000143,0.000286333,0.000937,0.000452667,0.00746967,0.109584,0.00128967,0.00913167,0.541224
GeoLife,PTree-Z,Insert,1.0,0.001232,0.001232,0.001232,0.001232,0.001232,0.000135333,0.000286,0.000845667,0.000181,0.000374667,0.001107,0.00013,0.000264333,0.000758333,0.000125333,0.000239333,0.000695,0.000614,0.00954033,0.121959,0.00066,0.011077,0.538512
GeoLife,PTree-Z,Insert,0.0001,2e-05,1.94842e-05,2e-06,0.000263667,0.204628,0.000132333,0.000346667,0.000978,0.000169,0.000425333,0.00130533,0.000128667,0.000257667,0.000857,0.000132333,0.000241667,0.000754667,0.000546333,0.00979533,0.129626,0.000582,0.0111017,0.543202
GeoLife,PTree-Z,Delete,0.0001,1.06667e-05,1.17915e-05,1e-06,6.7e-05,0.125885,0.000154667,0.000315333,0.000864333,0.000169667,0.000327667,0.00119033,0.000126,0.000239667,0.000701333,0.000113,0.000214667,0.000722667,0.000541333,0.010061,0.131203,0.000610667,0.011551,0.540799
GeoLife,CPAM-H,Insert,1.0,0.003596,0.003596,0.003596,0.003596,0.003596,0.000504667,0.000378333,0.00118233,0.000194333,0.000304333,0.0009,0.000178,0.000311333,0.00102,0.000185667,0.000325,0.000944,0.000600333,0.00787767,0.114227,0.000762,0.00975533,0.54426
GeoLife,CPAM-H,Insert,0.0001,4.7e-05,4.63428e-05,1.2e-05,7.2e-05,0.479679,0.000198667,0.000356667,0.00105967,0.000195333,0.000314333,0.000853667,0.000220333,0.000358667,0.000981,0.000185667,0.000331333,0.001009,0.000593667,0.008148,0.121821,0.000721667,0.0100613,0.53823
GeoLife,CPAM-H,Delete,0.0001,4.7e-05,4.64404e-05,1.2e-05,7.26667e-05,0.480668,0.000204,0.000654,0.001146,0.000196,0.00032,0.00101833,0.000188,0.000316333,0.000985667,0.000185333,0.000316333,0.001034,0.000627667,0.00808333,0.121818,0.000748,0.00995133,0.540824
GeoLife,CPAM-Z,Insert,1.0,0.003208,0.003208,0.003208,0.003208,0.003208,0.000199333,0.000364667,0.000977,0.000273,0.000462333,0.00122633,0.000167333,0.00029,0.001073,0.000168,0.000301,0.001045,0.000675667,0.010492,0.13686,0.000857,0.012351,0.542227
