bench,nodes,dims,solver,split,time,vis,gen,full,skip,time,vis,gen,full,skip,time,vis,gen,full,skip
Cosmo50,321M,3,kd,Rot/SpaMid,0.002833,102.032,80.7413,6e-05,60.4504,0.0392213,877.102,585.76,1.6932,293.724,2.07274,9316.67,5762.21,534.851,1673.89
Cosmo50,321M,3,kd,MaxStr/Obj,0.00244167,96.9787,77.0599,0,58.1411,0.039632,837.373,560.349,1.26694,283.057,1.92563,7635.59,4721.85,447.958,1361.16
Cosmo50,321M,3,orth,Rot/SpaMid,0.00250733,128.558,100.781,0.00022,74.0037,0.0434633,1290.87,843.407,4.31182,392.629,2.26784,14191.2,8868.58,975.906,2571.08
GeoLifeNoScale,24M,3,kd,Rot/SpaMid,0.000688,46.4897,43.713,0.00162,41.9346,0.004585,214.079,164.416,1.10338,114.649,0.72344,4982.83,3128,291.106,983.059
GeoLifeNoScale,24M,3,kd,MaxStr/Obj,0.000733,49.0241,41.4791,0.0001,34.934,0.004799,189.552,131.647,0.1167,74.6252,0.828462,5930.29,3669.35,185.257,1224.15
GeoLifeNoScale,24M,3,orth,Rot/SpaMid,0.000779667,49.3359,45.9607,0.0079,43.5777,0.00556567,285.383,217.377,4.2995,146.073,0.82852,7842.09,5098.62,714.977,1641.17
Household,2.04M,7,kd,Rot/SpaMid,0.00107967,64.0302,61.9804,0,60.9305,0.00583767,238.069,213.703,0,190.337,0.613011,4665.86,3086.88,10.74,1498.16
Household,2.04M,7,kd,MaxStr/Obj,0.001458,99.4272,72.0844,0,45.7417,0.00973467,338.928,219.727,0,101.526,0.925411,5080.58,2889.08,7.73118,690.851
Household,2.04M,7,orth,Rot/SpaMid,0.00136633,74.2822,71.9499,0,70.6176,0.00923233,421.351,382.468,0,344.585,1.15444,24107.6,16376.6,188.479,8458.23
osm,1298M,2,kd,Rot/SpaMid,0.000585,40.9282,38.1565,0.01598,36.3689,0.00837133,139.076,104.358,6.72802,63.9122,1.9621,1963.1,1372.66,338.061,445.167
osm,1298M,2,kd,MaxStr/Obj,0.000529,36.1892,32.4288,0.00972,29.6586,0.008171,129.469,91.404,5.4942,48.8443,2.0199,1694.92,1205.36,303.358,413.447
osm,1298M,2,orth,Rot/SpaMid,0.000603,41.949,39.134,0.02852,37.2904,0.00840233,148.037,111.034,8.44814,66.5817,2.01219,2205.96,1570.16,412.239,523.117
