solver,benchType,nodes,dims,S,M,L
kdtree,ss_varden,100M,2,0.00035,0.00417,0.21
orth,ss_varden,100M,2,0.00035,0.00387,0.19842
kdtree,ss_varden,1000M,2,0.00043,0.0098,0.47073
orth,ss_varden,1000M,2,0.00038,0.01002,0.51372
kdtree,uniform,100M,2,0.0003,0.00363,0.2001
orth,uniform,100M,2,0.00031,0.0038,0.20186
kdtree,uniform,1000M,2,0.00084,0.00903,0.45947
orth,uniform,1000M,2,0.00092,0.00936,0.50559
kdtree,ss_varden,100M,3,0.00066,0.00831,0.35116
orth,ss_varden,100M,3,0.00054,0.00784,0.34761
kdtree,ss_varden,1000M,3,0.00169,0.02541,0.78197
orth,ss_varden,1000M,3,0.00142,0.02426,0.85378
kdtree,uniform,100M,3,0.00296,0.01857,0.35877
orth,uniform,100M,3,0.00332,0.02326,0.4716
kdtree,uniform,1000M,3,0.00068,0.01572,0.79935
orth,uniform,1000M,3,0.00068,0.01993,0.95328
