solver,split,benchType,nodes,dims,time,vis,gen,full,skip,time,vis,gen,full,skip,time,vis,gen,full,skip
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,0.00061,38.5,34.0,0.0,30.0,0.0096,170.0,122.0,7.0,67.0,1.7705,2023.0,1416.5,350.0,460.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,0.00054,36.5,32.5,0.0,29.5,0.00976,175.5,124.5,7.0,68.0,1.81517,2014.0,1402.5,339.5,452.0
orth,Rot/SpaMid,uniform_bigint,1000M,2,0.0006,40.0,34.5,0.0,30.0,0.00997,218.0,157.0,12.0,85.0,1.85343,2530.5,1790.0,465.5,584.0
kdtree,MaxStr/Obj,uniform_bigint,1000M,3,0.00078,42.5,37.0,0.0,32.5,0.02743,583.5,390.0,2.5,194.5,3.28498,11448.0,7081.0,698.5,2016.0
kdtree,Rot/SpaMid,uniform_bigint,1000M,3,0.00081,44.0,38.0,0.0,33.0,0.03218,656.5,428.0,1.5,197.5,3.38118,11733.0,7156.0,647.0,1932.5
orth,Rot/SpaMid,uniform_bigint,1000M,3,0.00089,57.0,48.5,0.0,40.5,0.03472,1270.0,875.0,16.0,466.0,3.78641,25081.5,15791.5,2024.0,4478.5
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,0.00045,29.0,27.0,0.0,26.0,0.00904,84.0,63.5,8.0,37.0,1.74046,567.0,453.5,169.0,171.0
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00053,45.5,43.5,0.0,42.0,0.00967,113.0,88.5,7.5,57.0,1.78299,579.0,416.0,102.5,151.0
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,0.00062,46.0,44.0,0.0,43.0,0.00959,122.0,95.5,9.5,59.5,1.84257,594.5,429.0,108.0,156.5
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,3,0.00054,31.5,28.5,0.0,27.5,0.01432,160.5,111.0,8.0,54.5,2.57485,2195.0,1588.0,548.5,432.5
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,3,0.00072,56.5,53.5,0.0,52.0,0.01504,245.5,178.0,6.5,104.0,2.793,2231.5,1431.0,244.0,386.5
orth,Rot/SpaMid,ss_varden_bigint,1000M,3,0.00079,60.0,56.5,0.0,53.5,0.01609,333.5,234.0,16.0,119.0,3.01685,2450.0,1583.0,289.5,427.0
