solver,split,benchType,nodes,dims,build,maxDepth,aveDepth,0.01%,0.1%,1%,10%,0.01%,0.1%,1%,10%,10%/1%,20%/1%,50%/1%,100%/1%,k=10,vis,gen,check,skip,L,vis,gen,full,skip
kd,MaxStr/Obj,uniform_bigint,1000M,2,3.28167,28.0,25.52565,0.00301,0.01721,0.08372,0.43807,0.00368,0.02796,0.1047,0.47361,0.19992,0.20769,0.21117,0.21876,0.32685,32.0,29.0,29.0,27.0,1.66017,2023.0,1416.5,350.0,460.0
kd,Rot/SpaMid,uniform_bigint,1000M,2,2.67688,27.0,25.4646,0.00234,0.01391,0.08201,0.43238,0.00267,0.01667,0.10162,0.46212,0.18899,0.19629,0.20087,0.20923,0.32931,32.0,29.0,29.0,27.0,1.66155,2014.0,1402.5,339.5,452.0
orth,Rot/SpaMid,uniform_bigint,1000M,2,2.57625,14.0,13.0001,0.00229,0.01468,0.07905,0.34241,0.00253,0.01634,0.09202,0.41186,0.19663,0.20416,0.20347,0.20462,0.27879,34.0,31.0,31.0,28.0,1.67764,2530.5,1790.0,465.5,584.0
kd,MaxStr/Obj,uniform_bigint,1000M,3,3.7715,28.0,25.5267,0.00299,0.0153,0.08603,0.49687,0.00441,0.0211,0.12481,0.56339,0.23345,0.24269,0.24706,0.24363,0.7069,46.0,40.0,40.0,34.0,3.29493,11448.0,7081.0,698.5,2016.0
kd,Rot/SpaMid,uniform_bigint,1000M,3,3.3007,27.0,25.46465,0.00269,0.0142,0.08652,0.50373,0.00289,0.01941,0.12068,0.55741,0.23076,0.22711,0.22448,0.23249,0.71267,46.0,39.0,39.0,34.0,3.39017,11733.0,7156.0,647.0,1932.5
orth,Rot/SpaMid,uniform_bigint,1000M,3,3.25835,9.0,8.99999,0.00254,0.01558,0.0899,0.42357,0.00274,0.01727,0.10361,0.52098,0.26293,0.26379,0.2513,0.23832,0.63712,64.0,52.0,52.0,41.0,3.61513,25081.5,15791.5,2024.0,4478.5
kd,MaxStr/Obj,ss_varden_bigint,1000M,2,4.66612,28.0,25.52375,0.00298,0.01422,0.08406,0.73525,0.00342,0.01185,0.09282,0.57913,0.18533,0.18628,0.21487,0.253,0.0945,31.0,28.0,28.0,26.0,1.58023,567.0,453.5,169.0,171.0
kd,Rot/SpaMid,ss_varden_bigint,1000M,2,7.15785,50.5,41.9807,0.00332,0.01126,0.0879,0.86973,0.0034,0.0073,0.04983,0.39447,0.21098,0.2144,0.25036,0.34836,0.12588,52.5,50.0,50.0,48.0,1.86556,579.0,416.0,102.5,151.0
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,6.80787,25.5,21.41705,0.00252,0.00949,0.07464,0.77452,0.00276,0.00685,0.04568,0.35405,0.20878,0.21083,0.23265,0.31644,0.13223,54.0,50.5,50.5,48.5,1.74893,594.5,429.0,108.0,156.5
kd,MaxStr/Obj,ss_varden_bigint,1000M,3,6.30149,28.0,25.5253,0.0033,0.01088,0.11486,1.03167,0.00418,0.01205,0.15552,0.749,0.22495,0.2341,0.27292,0.38066,0.14409,39.0,33.0,33.0,28.0,2.47909,2195.0,1588.0,548.5,432.5
kd,Rot/SpaMid,ss_varden_bigint,1000M,3,12.1613,73.5,59.84405,0.00532,0.01938,0.16231,1.4554,0.00435,0.013,0.08994,0.6275,0.29758,0.30078,0.37709,0.53984,0.19712,83.0,78.0,78.0,73.0,2.739,2231.5,1431.0,244.0,386.5
orth,Rot/SpaMid,ss_varden_bigint,1000M,3,10.99385,25.0,20.7925,0.00366,0.02082,0.16783,1.41349,0.00367,0.01284,0.08361,0.59722,0.29542,0.29863,0.41439,0.56214,0.219,93.0,85.0,85.0,77.0,2.92073,2450.0,1583.0,289.5,427.0
