Tree: PTree; AugType: HasBox; Split: MortonCurve; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (662, 0.0008265)-> min: (6715, 0.0006645)-> max: (1497, 0.005038)-> tot: 8.47638-> avg: 0.000847141
range query time: 
0 9 2.000000e-05
0 7 2.000000e-06
0 3 1.000000e-06
0 3 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 12 9.000000e-06
0 11 2.000000e-06
0 1 1.000000e-06
0 10 2.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 8 2.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 6 2.000000e-06
0 4 1.000000e-06
0 3 1.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 15 2.000000e-06
0 11 1.000000e-06
0 1 1.000000e-06
0 10 1.000000e-06
0 2 1.000000e-06
0 2 0.000000e+00
0 2 0.000000e+00
0 1 0.000000e+00
0 1 0.000000e+00
0 8 1.000000e-06
0 7 1.000000e-06
0 5 1.000000e-06
0 4 1.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 1 0.000000e+00
0 1 1.000000e-06
0 1 1.000000e-06
0 1 0.000000e+00
0 1 1.000000e-06
0 2 1.000000e-06
0 2 0.000000e+00
0 1 0.000000e+00
0 1 1.000000e-06
0 1 1.000000e-06
0 4 1.000000e-06
0 1 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 2 0.000000e+00
0 1 1.000000e-06
0 1 1.000000e-06
0 16 1.000000e-06
0 3 1.000000e-06
0 1 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 13 1.000000e-06
0 4 1.000000e-06
0 1 1.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 2 0.000000e+00
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 9 1.000000e-06
0 7 1.000000e-06
0 2 1.000000e-06
1 2754 9.500000e-05
1 1686 2.200000e-05
1 1191 1.500000e-05
1 950 1.200000e-05
1 908 1.100000e-05
1 899 9.000000e-06
1 715 7.000000e-06
1 675 9.000000e-06
1 599 9.000000e-06
1 401 8.000000e-06
1 369 7.000000e-06
1 210 5.000000e-06
1 144 5.000000e-06
1 159 5.000000e-06
1 156 4.000000e-06
1 198 5.000000e-06
1 173 4.000000e-06
1 184 5.000000e-06
1 180 4.000000e-06
1 105 4.000000e-06
1 105 2.000000e-06
1 102 2.000000e-06
1 241 4.000000e-06
1 146 3.000000e-06
1 101 2.000000e-06
1 495 8.000000e-06
1 359 6.000000e-06
1 271 6.000000e-06
1 135 3.000000e-06
1 134 2.000000e-06
1 101 3.000000e-06
1 136 5.000000e-06
1 130 4.000000e-06
1 115 4.000000e-06
1 136 4.000000e-06
1 1068 2.400000e-05
1 793 1.200000e-05
1 702 1.200000e-05
1 616 8.000000e-06
1 490 7.000000e-06
1 446 6.000000e-06
1 391 6.000000e-06
1 376 7.000000e-06
1 314 1.300000e-05
1 200 5.000000e-06
