Tree: CPAM; AugType: HasBox; Split: MortonCurve; BDO: 6; Inba: 30; Coord: integer; 
1.in 
# Insert
## 0.0001
median: (4728, 0.001855)-> min: (9565, 0.0014405)-> max: (4450, 0.008088)-> tot: 19.2083-> avg: 0.00192033
range query time: 
0 9 2.100000e-05
0 76 9.000000e-06
0 38 2.000000e-06
0 38 2.000000e-06
0 40 4.000000e-06
0 4 1.000000e-06
0 36 2.000000e-06
0 42 1.000000e-05
0 26 3.000000e-06
0 16 3.000000e-06
0 35 2.000000e-06
0 83 1.100000e-05
0 14 2.000000e-06
0 69 4.000000e-06
0 9 2.000000e-06
0 60 3.000000e-06
0 55 3.000000e-06
0 15 2.000000e-06
0 40 3.000000e-06
0 27 3.000000e-06
0 13 3.000000e-06
0 5 2.000000e-06
0 25 2.000000e-06
0 95 4.000000e-06
0 83 3.000000e-06
0 15 2.000000e-06
0 68 2.000000e-06
0 38 2.000000e-06
0 30 2.000000e-06
0 12 2.000000e-06
0 20 3.000000e-06
0 42 2.000000e-06
0 32 2.000000e-06
0 10 2.000000e-06
0 31 8.000000e-06
0 21 5.000000e-06
0 91 7.000000e-06
0 14 3.000000e-06
0 77 3.000000e-06
0 61 3.000000e-06
0 53 3.000000e-06
0 41 3.000000e-06
0 41 2.000000e-06
0 40 2.000000e-06
0 30 2.000000e-06
0 10 2.000000e-06
0 1 2.000000e-06
0 12 3.000000e-06
0 8 2.000000e-06
0 16 3.000000e-06
0 74 3.000000e-06
0 34 3.000000e-06
0 40 2.000000e-06
0 31 2.000000e-06
0 9 2.000000e-06
0 40 5.000000e-06
0 33 4.000000e-06
0 7 4.000000e-06
0 27 3.000000e-06
0 96 1.200000e-05
0 91 4.000000e-06
0 75 4.000000e-06
0 26 3.000000e-06
0 49 4.000000e-06
0 40 3.000000e-06
0 29 3.000000e-06
0 11 3.000000e-06
0 9 3.000000e-06
0 16 3.000000e-06
0 5 2.000000e-06
0 61 6.000000e-06
0 38 4.000000e-06
0 23 4.000000e-06
0 42 4.000000e-06
0 42 4.000000e-06
0 20 3.000000e-06
0 22 4.000000e-06
0 74 6.000000e-06
0 62 3.000000e-06
0 12 1.000000e-06
0 50 3.000000e-06
0 23 3.000000e-06
0 27 2.000000e-06
0 12 3.000000e-06
0 72 4.000000e-06
0 42 3.000000e-06
0 3 1.000000e-06
0 39 3.000000e-06
0 30 2.000000e-06
0 80 6.000000e-06
0 10 2.000000e-06
0 70 4.000000e-06
0 55 3.000000e-06
0 45 3.000000e-06
0 7 2.000000e-06
0 38 2.000000e-06
0 10 3.000000e-06
0 15 2.000000e-06
0 15 2.000000e-06
0 29 5.000000e-06
1 2754 6.500000e-05
1 1686 2.700000e-05
1 1191 1.300000e-05
1 950 1.400000e-05
1 241 6.000000e-06
1 495 1.000000e-05
1 1068 1.500000e-05
1 712 1.200000e-05
1 356 7.000000e-06
1 1965 1.000000e-04
1 843 1.500000e-05
1 1122 1.800000e-05
1 1028 1.700000e-05
1 980 1.300000e-05
1 631 3.000000e-05
1 9800 3.250000e-04
1 8510 1.430000e-04
1 4726 5.000000e-05
1 3851 4.400000e-05
1 350 5.000000e-06
1 3501 3.200000e-05
1 2667 3.000000e-05
1 2461 3.800000e-05
1 645 1.200000e-05
1 1816 2.200000e-05
1 761 1.200000e-05
1 1055 1.600000e-05
1 404 1.000000e-05
1 651 1.000000e-05
