Tree: ZdTree; AugType: WithoutBox; Split: MortonCurve; BDO: 6; Inba: 30; Coord: float; 
1.in 
# Insert
## 0.0001
median: (7658, 0.0012525)-> min: (49, 0.000984)-> max: (1030, 0.0102585)-> tot: 15.1962-> avg: 0.00151913
range query time: 
0 9 1.600000e-05
0 7 3.000000e-06
0 3 2.000000e-06
0 3 1.000000e-06
0 3 1.000000e-06
0 1 2.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 8.000000e-06
0 3 2.000000e-06
0 1 2.000000e-06
0 2 2.000000e-06
0 2 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 12 8.000000e-06
0 11 3.000000e-06
0 1 2.000000e-06
0 10 3.000000e-06
0 2 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 8 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 6 2.000000e-06
0 4 2.000000e-06
0 3 2.000000e-06
0 3 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 2 1.300000e-05
0 2 3.000000e-06
0 1 1.000000e-06
0 1 3.000000e-06
0 1 2.000000e-06
0 15 3.000000e-06
0 11 2.000000e-06
0 1 1.000000e-06
0 10 2.000000e-06
0 2 2.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 2.000000e-06
0 1 1.000000e-06
0 8 2.000000e-06
0 7 2.000000e-06
0 5 2.000000e-06
0 4 2.000000e-06
0 3 1.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 2 2.000000e-06
0 2 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 4 2.000000e-06
0 1 1.000000e-06
0 3 2.000000e-06
0 1 2.000000e-06
0 2 2.000000e-06
0 2 1.000000e-06
0 2 1.000000e-06
0 1 2.000000e-06
0 1 1.000000e-06
0 16 3.000000e-06
0 3 2.000000e-06
0 1 1.000000e-06
0 2 2.000000e-06
0 1 1.000000e-06
0 1 1.000000e-06
0 13 2.000000e-06
0 4 2.000000e-06
0 1 1.000000e-06
0 3 2.000000e-06
0 2 2.000000e-06
0 2 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 1 2.000000e-06
0 9 2.000000e-06
0 7 2.000000e-06
0 2 2.000000e-06
1 2754 1.150000e-04
1 1686 2.100000e-05
1 1191 1.600000e-05
1 950 1.500000e-05
1 908 1.200000e-05
1 899 1.000000e-05
1 715 9.000000e-06
1 675 9.000000e-06
1 599 8.000000e-06
1 401 7.000000e-06
1 369 7.000000e-06
1 210 5.000000e-06
1 144 4.000000e-06
1 159 4.000000e-06
1 156 4.000000e-06
1 198 5.000000e-06
1 173 4.000000e-06
1 184 6.000000e-06
1 180 6.000000e-06
1 105 5.000000e-06
1 105 4.000000e-06
1 102 4.000000e-06
1 241 6.000000e-06
1 146 6.000000e-06
1 101 4.000000e-06
1 495 9.000000e-06
1 359 6.000000e-06
1 271 7.000000e-06
1 135 4.000000e-06
1 134 4.000000e-06
1 101 3.000000e-06
1 136 4.000000e-06
1 130 3.000000e-06
1 115 9.000000e-06
1 136 4.000000e-06
1 1068 2.100000e-05
1 793 1.200000e-05
1 702 1.000000e-05
1 616 8.000000e-06
1 490 6.000000e-06
1 446 7.000000e-06
1 391 6.000000e-06
1 376 6.000000e-06
1 314 5.000000e-06
1 200 4.000000e-06
1 174 4.000000e-06
1 163 4.000000e-06
1 129 3.000000e-06
1 111 3.000000e-06
1 114 4.000000e-06
1 102 4.000000e-06
1 126 4.000000e-06
1 116 4.000000e-06
1 275 8.000000e-06
1 178 6.000000e-06
1 136 4.000000e-06
1 4617 1.930000e-04
1 1822 2.000000e-05
1 961 1.000000e-05
1 290 3.000000e-06
1 218 2.000000e-06
1 201 2.000000e-06
1 115 5.000000e-06
1 114 3.000000e-06
1 671 1.100000e-05
1 147 5.000000e-06
1 135 4.000000e-06
1 524 9.000000e-06
1 367 7.000000e-06
1 320 7.000000e-06
1 227 6.000000e-06
