benchmark,solver,ratio,median,avg,min,max,tot,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3,k=1,k=2,k=3
Uniform_by_x,PTree,1.0,2.49678,2.49678,2.49678,2.49678,2.49678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,PTree,0.1,0.234783,0.234386,0.232434,0.23586,2.34386,0.718023,1.25797,3.69858,0.303278,0.856824,3.48462,1.95669,3.13276,7.16449,0.320057,0.878804,3.60941
Uniform_by_x,PTree,0.01,0.0250287,0.0251135,0.024753,0.0266443,2.5114,0.730322,1.15572,3.06948,0.301764,0.835604,3.27856,1.87113,2.91097,6.43355,0.310465,0.84931,3.40139
Uniform_by_x,PTree,0.001,0.00318267,0.00319546,0.002934,0.00492233,3.19596,0.76171,1.21564,3.11599,0.316914,0.882147,3.57675,1.94246,3.01153,6.61462,0.321526,0.880803,3.59147
Uniform_by_x,PTree,0.0001,0.000828,0.000830356,0.000588,0.00243667,8.30856,0.782843,1.22712,3.13283,0.32362,0.897284,3.50573,1.94536,3.04885,6.87271,0.326917,0.896475,3.56756
Uniform_by_x,KdTree,1.0,0.301836,0.301836,0.301836,0.301836,0.301838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,KdTree,0.1,0.661267,1.0588,0.0313777,3.63572,10.588,0.118386,0.24477,1.01242,0.098334,0.478469,2.23112,0.231533,0.409615,1.33512,0.099405,0.404955,1.88094
Uniform_by_x,KdTree,0.01,0.133569,0.237306,0.002522,3.48981,23.7306,0.121762,0.257855,1.03685,0.095366,0.457779,2.19414,0.231465,0.409866,1.3353,0.096297,0.399881,1.85311
Uniform_by_x,KdTree,0.001,0.0187273,0.0361948,0.000242333,3.51833,36.1953,0.122326,0.253978,1.01981,0.0846883,0.43675,2.18332,0.231242,0.409823,1.33437,0.084468,0.382881,1.85198
Uniform_by_x,KdTree,0.0001,0.003902,0.00616169,0.000211,3.37045,61.622,0.120323,0.258951,1.02258,0.0831203,0.404843,1.88728,0.231419,0.409782,1.33375,0.0843507,0.35541,1.58286
Uniform_by_x,OrthTree,1.0,0.483175,0.483175,0.483175,0.483175,0.483178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform_by_x,OrthTree,0.1,0.231662,0.19668,0.047514,0.268006,1.96681,0.106281,0.215851,0.944745,0.0489543,0.098572,1.22831,0.200711,0.34924,1.24424,0.049694,0.100225,1.32383
Uniform_by_x,OrthTree,0.01,0.0315957,0.0310326,0.00500967,0.04108,3.10331,0.1055,0.212381,0.956392,0.049089,0.0988673,1.258,0.202346,0.350882,1.24761,0.049094,0.10048,1.32974
Uniform_by_x,OrthTree,0.001,0.004296,0.00424526,0.000567,0.0142753,4.24576,0.107721,0.21683,0.948972,0.0490837,0.0982893,1.26988,0.205832,0.35493,1.25556,0.0491583,0.100424,1.3151
Uniform_by_x,OrthTree,0.0001,0.000868,0.00087383,0.00012,0.003957,8.74331,0.108561,0.224229,0.960896,0.0491517,0.0987927,1.27751,0.206095,0.355082,1.25279,0.0491823,0.100718,1.34376
Varden,PTree,1.0,2.37263,2.37263,2.37263,2.37263,2.37263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,PTree,0.1,0.223898,0.223651,0.21638,0.235594,2.23651,0.449498,1.3245,6.77005,0.199116,0.406218,2.14135,2.20425,3.67328,8.66103,0.761472,1.54611,5.62359
Varden,PTree,0.01,0.0241913,0.024917,0.0234147,0.0321727,2.49176,0.461313,1.35029,6.8487,0.203116,0.421705,2.17322,2.20356,3.69539,8.8177,0.814471,1.62253,5.72804
Varden,PTree,0.001,0.00336667,0.00354016,0.00280333,0.00662733,3.54066,0.463001,1.37128,6.95336,0.31195,0.670138,3.56925,2.19032,3.67661,8.75497,0.784646,1.60502,5.69255
Varden,PTree,0.0001,0.000811,0.000819271,0.000575667,0.00169967,8.1977,0.459583,1.31974,6.57489,0.29943,0.67389,3.67521,2.19018,3.66149,8.63181,0.787398,1.56527,5.50008
Varden,KdTree,1.0,0.200063,0.200063,0.200063,0.200063,0.200065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,KdTree,0.1,0.796482,0.794595,0.0273743,1.68738,7.94595,0.0508463,0.105994,0.523818,0.099325,0.160224,1.07588,0.23192,0.410778,1.33603,0.212004,0.378229,1.64806
Varden,KdTree,0.01,0.0922457,0.137879,0.00210767,1.12633,13.7879,0.0512767,0.106722,0.524796,0.115322,0.194636,1.37522,0.23256,0.411368,1.33648,0.219336,0.384894,1.70303
Varden,KdTree,0.001,0.011677,0.0223363,0.000247,1.27557,22.3368,0.0511893,0.107084,0.524645,0.0971543,0.154911,1.13641,0.232108,0.410137,1.33237,0.206623,0.365105,1.54949
Varden,KdTree,0.0001,0.00288,0.00434194,5.8e-05,1.21556,43.4244,0.0511737,0.106571,0.524864,0.101616,0.173019,1.27283,0.232573,0.409631,1.32833,0.204612,0.361196,1.57319
Varden,OrthTree,1.0,0.509853,0.509853,0.509853,0.509853,0.509855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Varden,OrthTree,0.1,0.407337,0.403171,0.0524983,0.652579,4.03171,0.068938,0.128146,0.528444,0.0856957,0.144446,0.885272,0.22657,0.38601,1.28945,0.22384,0.375561,1.54467
Varden,OrthTree,0.01,0.0561723,0.0568492,0.00594633,0.088028,5.68497,0.0692203,0.126583,0.529826,0.0855933,0.144235,0.887611,0.228031,0.388484,1.29446,0.224648,0.376493,1.54503
Varden,OrthTree,0.001,0.008121,0.00875944,0.000690333,0.0262427,8.75994,0.069189,0.126699,0.530241,0.0860843,0.144288,0.88754,0.228519,0.390134,1.29567,0.224872,0.376603,1.54993
Varden,OrthTree,0.0001,0.00184867,0.00195838,8.43333e-05,0.00598333,19.5888,0.069222,0.126839,0.53038,0.0857313,0.144905,0.887367,0.227944,0.3874,1.28891,0.224976,0.376992,1.55045
Uniform,PTree,1.0,2.72321,2.72321,2.72321,2.72321,2.72321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,PTree,0.1,0.501102,0.468771,0.266929,0.648708,4.68771,1.90002,2.82141,5.61104,1.94829,2.84056,5.62814,1.9114,2.84017,5.63861,1.96318,2.85486,5.65154
Uniform,PTree,0.01,0.154736,0.143491,0.0276827,0.204514,14.3492,1.89889,2.81989,5.6134,1.94641,2.84012,5.62752,1.90937,2.83926,5.63653,1.96047,2.85345,5.65083
Uniform,PTree,0.001,0.0291367,0.027602,0.00365133,0.0349227,27.6024,1.89661,2.81749,5.61446,1.94566,2.83856,5.62567,1.9086,2.83801,5.63175,1.96015,2.85241,5.64722
Uniform,PTree,0.0001,0.00430033,0.00420319,0.000665,0.006395,42.0369,1.8967,2.81853,5.6132,1.94692,2.84009,5.62847,1.90911,2.8391,5.6364,1.96102,2.85398,5.64864
Uniform,KdTree,1.0,0.259018,0.259018,0.259018,0.259018,0.25902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,KdTree,0.1,0.510083,0.438724,0.0271777,0.560393,4.38725,0.229076,0.410105,1.41891,0.259929,0.411908,1.39687,0.228996,0.400105,1.37537,0.262556,0.410227,1.36959
Uniform,KdTree,0.01,0.119955,0.110196,0.00328533,0.138512,11.0197,0.229164,0.410681,1.42003,0.260116,0.412043,1.39724,0.228839,0.400701,1.37608,0.262871,0.410393,1.3699
Uniform,KdTree,0.001,0.0245333,0.0228166,0.000424333,0.02797,22.8171,0.228739,0.410495,1.41943,0.260117,0.412142,1.39732,0.229038,0.400576,1.3754,0.262937,0.410541,1.36897
Uniform,KdTree,0.0001,0.00598467,0.00576113,8.13333e-05,0.00914133,57.6163,0.228556,0.411978,1.42014,0.260153,0.412154,1.39724,0.22906,0.400513,1.37585,0.263136,0.41068,1.36896
Uniform,OrthTree,1.0,0.479588,0.479588,0.479588,0.479588,0.47959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uniform,OrthTree,0.1,0.492208,0.427768,0.075536,0.525728,4.27769,0.21039,0.392817,1.50261,0.237395,0.395366,1.4822,0.210451,0.38273,1.46154,0.240208,0.393913,1.45494
Uniform,OrthTree,0.01,0.118507,0.102676,0.00802067,0.123202,10.2676,0.211203,0.394693,1.5058,0.238062,0.39671,1.48412,0.211432,0.384513,1.4628,0.241018,0.39553,1.45678
Uniform,OrthTree,0.001,0.021894,0.0198014,0.000405667,0.0241687,19.8019,0.210906,0.39399,1.50582,0.23828,0.396548,1.48376,0.211422,0.384257,1.46347,0.241297,0.395316,1.45682
Uniform,OrthTree,0.0001,0.00318267,0.0029791,7.86667e-05,0.00446867,29.796,0.210937,0.394099,1.50597,0.238289,0.396777,1.48408,0.211538,0.384886,1.46413,0.241447,0.395549,1.45715
