benchmark,solver,ratio,median,avg,min,max,tot,IDS1,IDS10,IDS100,ODS1,ODS10,ODS100,IDU1,IDU10,IDU100,ODU1,ODU10,ODU100,RCS,RCM,RCL,RRS,RRM,RRL
Uniform_by_x,PTree-H,1.0,3.90261,3.90261,3.90261,3.90261,3.90261,1.78294,3.84001,9.84744,0.461559,1.03722,7.70853,3.53978,6.88356,15.7837,0.504547,1.31025,8.55669,0.00074,0.0577043,1.13193,0.000753333,0.0649897,2.01536
Uniform_by_x,PTree-H,0.1,0.3759,0.375457,0.369385,0.380636,3.75458,1.54314,3.51483,9.47651,0.463187,1.00695,7.38327,3.19594,6.39408,15.1013,0.490787,1.21927,8.20769,0.000739,0.062746,1.15699,0.000810667,0.0720993,2.07248
Uniform_by_x,PTree-H,0.01,0.039879,0.0402801,0.038411,0.0459833,4.02806,1.82451,4.05152,10.5313,0.512079,1.08458,7.30615,3.29716,6.58122,15.4728,0.534564,1.24155,8.03602,0.00111067,0.0589297,1.15166,0.000741667,0.0683553,2.1509
Uniform_by_x,PTree-H,0.001,0.005746,0.00580883,0.005043,0.011211,5.80932,2.06645,5.34953,16.1658,0.794413,1.69147,8.9905,4.30028,10.0706,27.2191,0.871749,1.99866,10.5209,0.001245,0.060583,1.17762,0.000841333,0.069989,2.18512
Uniform_by_x,PTree-H,0.0001,0.00128667,0.00130322,0.000926333,0.00608233,13.0372,1.91139,4.66092,13.4806,0.753548,1.56952,8.70414,3.85203,8.45487,21.8829,0.809582,1.83108,9.95147,0.00116433,0.0634083,1.14868,0.000810667,0.0684643,2.17665
Uniform_by_x,KdTree,1.0,5.5667,5.5667,5.5667,5.5667,5.5667,0.152655,0.603384,2.28226,0.310255,1.83445,8.15069,0.263176,0.908488,3.08006,0.333147,1.58669,6.3243,0.000533667,0.0423827,0.853885,0.000599,0.0487797,1.87141
Uniform_by_x,KdTree,0.1,1.46434,1.64138,0.407886,3.98964,16.4138,0.165326,0.643651,2.34923,0.353668,1.95622,8.41854,0.279332,0.942121,3.14845,0.373132,1.68571,6.49578,0.000604667,0.0459033,0.85822,0.000715667,0.0516727,1.82222
Uniform_by_x,KdTree,0.01,0.210365,0.210739,0.045667,0.410888,21.074,0.206047,0.733027,2.53345,0.733236,3.55572,13.8361,0.2837,0.972399,3.23764,0.748844,2.99062,10.5916,0.000547333,0.0482183,0.89093,0.000721,0.0521213,1.84031
Uniform_by_x,KdTree,0.001,0.031939,0.0284626,0.004586,0.0445157,28.4632,0.244799,0.9954,3.45816,0.826716,6.50488,31.9384,0.277977,1.1862,4.22257,0.923067,5.65378,24.7656,0.000577333,0.049113,1.02826,0.000727667,0.053124,1.96989
Uniform_by_x,KdTree,0.0001,0.00717867,0.00690034,0.000841,0.0138237,69.0085,0.245275,1.00982,3.53237,0.83191,6.70701,33.3906,0.279714,1.21166,4.32711,0.933257,5.85405,25.9684,0.000594333,0.0474483,1.0386,0.000762,0.053996,1.97532
Uniform_by_x,OrthTree,1.0,6.40527,6.40527,6.40527,6.40527,6.40527,0.184668,0.637315,2.39155,0.342088,1.3729,5.23615,0.311315,0.951476,3.22209,0.341492,1.16909,4.02953,0.00288433,0.0545727,0.877259,0.000792,0.0568703,2.02685
Uniform_by_x,OrthTree,0.1,0.64075,0.643549,0.601538,0.693614,6.4355,0.187964,0.606556,2.33384,0.378276,1.78834,7.815,0.300884,0.867954,3.00282,0.382865,1.54085,6.13439,0.000937333,0.048616,0.814013,0.000802333,0.0527107,1.91428
Uniform_by_x,OrthTree,0.01,0.0627797,0.0633177,0.050193,0.0861847,6.33182,0.192797,0.621487,2.38418,0.394117,1.82802,7.88822,0.309208,0.883301,3.0195,0.394335,1.57665,6.19069,0.000967,0.0505813,0.828264,0.000761333,0.053691,1.86193
Uniform_by_x,OrthTree,0.001,0.00653567,0.00657508,0.00433833,0.0100567,6.57558,0.200329,0.646932,2.46499,0.406139,1.90813,8.12028,0.314466,0.895065,3.03778,0.40936,1.64061,6.36061,0.000958333,0.0509007,0.828772,0.00112367,0.055838,1.80503
Uniform_by_x,OrthTree,0.0001,0.00206833,0.00196137,0.000826333,0.00701267,19.6188,0.202984,0.666349,2.50476,0.411644,1.96788,8.3682,0.324025,0.894522,2.99068,0.417584,1.68986,6.53993,0.000913667,0.0504763,0.82957,0.000809,0.0558953,1.79595
Uniform_by_x,ZdTree,1.0,6.64477,6.64477,6.64477,6.64477,6.64477,0.191101,0.726489,2.89935,0.14515,0.346653,3.28441,0.31389,1.09156,4.00651,0.134713,0.320283,3.56891,0.000578667,0.0915923,1.16713,0.00104733,0.101637,2.40801
Uniform_by_x,ZdTree,0.1,0.433839,0.441004,0.422229,0.498618,4.41005,0.179177,0.723837,2.8652,0.144131,0.349987,3.20213,0.314656,1.08241,3.92519,0.134833,0.323781,3.47057,0.000570667,0.0896033,1.11193,0.001028,0.097307,2.39639
