solver,split,benchType,nodes,dims,time,vis,gen,check,skip,time,vis,gen,check,skip,time,vis,gen,check,skip
kdtree,MaxStr/Obj,uniform_bigint,1000M,2,0.17173,26.55535,25.51095,25.51095,25.4666,0.34466,32.44085,29.45095,29.45095,27.461,1.25897,56.33065,43.70925,43.70925,32.08785
kdtree,Rot/SpaMid,uniform_bigint,1000M,2,0.1688,26.36745,25.36745,25.36745,25.3674,0.34435,32.20625,29.2618,29.2618,27.31725,1.29606,56.55445,43.688,43.688,31.82155
orth,Rot/SpaMid,uniform_bigint,1000M,2,0.12924,27.0001,26.0001,26.0001,26.0001,0.29902,34.6077,31.0706,31.0706,28.5335,1.27957,68.88155,51.06225,51.06225,34.243
cpam,Hilbert,uniform_bigint,1000M,2,2.1578,118.7915,0.0,109.1565,100.5215,3.28391,138.891,0.0,122.7825,107.6745,6.505,185.0195,0.0,151.7375,119.455
cpam,Morton,uniform_bigint,1000M,2,7.79584,445.4325,0.0,398.6855,352.939,16.01405,697.3935,0.0,596.134,495.875,31.3505,945.2475,0.0,742.9,541.552
kdtree,MaxStr/Obj,ss_varden_bigint,1000M,2,0.06322,26.78375,25.6242,25.6242,25.4647,0.11378,32.44145,29.3897,29.3897,27.338,0.50981,56.0041,43.3757,43.3757,31.7473
kdtree,Rot/SpaMid,ss_varden_bigint,1000M,2,0.18354,52.56105,51.44355,51.44355,51.326,0.13749,58.32045,55.2586,55.2586,53.19675,0.54701,82.3585,69.46415,69.46415,57.5698
orth,Rot/SpaMid,ss_varden_bigint,1000M,2,0.09256,53.1344,51.9958,51.9958,51.8572,0.15348,60.4375,56.79525,56.79525,54.15295,0.56811,93.09355,75.8157,75.8157,59.53785
cpam,Hilbert,ss_varden_bigint,1000M,2,0.55474,222.181,0.0,203.796,186.4105,2.19006,394.4065,0.0,342.2675,291.129,12.19775,609.56,0.0,472.9255,337.291
cpam,Morton,ss_varden_bigint,1000M,2,1.49964,519.698,0.0,459.3825,400.067,6.23621,973.4335,0.0,809.9725,647.512,30.3591,1436.57,0.0,1085.19,734.807
