"Benchmark","Solver","Build","Insert","Delete","10NN","RG"
"Cosmo50","P-Orth",1.89859,16.2109,17.8546,0.125214,0.56818
"Cosmo50","ZdTree",1.64777,13.8253,20.6595,0.136964,0.752933
"Cosmo50","SPaC-H",1.02307,6.58885,9.40153,0.491195,0.840013
"Cosmo50","SPaC-Z",0.836503,5.63103,8.46266,2.7202,1.0579
"Cosmo50","CPAM-H",5.47536,19.5542,19.846,0.581008,1.05514
"Cosmo50","CPAM-Z",5.38451,18.9854,19.2145,3.8221,1.33056
"Cosmo50","Boost",414.37966,192.80533,1482.67162,1.08504,1.58298
"Cosmo50","PkdTree",1.88912,100.94,800.325,0.114013,0.62622
"OSM","P-Orth",4.95984,14.4871,14.9285,0.0854547,0.0449557
"OSM","ZdTree",5.88444,16.4974,23.8638,0.165875,0.0577673
"OSM","SPaC-H",2.26282,8.18739,7.97681,1.13845,0.0964917
"OSM","SPaC-Z",2.1224,7.90639,7.36799,3.83822,0.151548
"OSM","CPAM-H",7.25907,15.6263,16.6707,1.11671,0.129446
"OSM","CPAM-Z",7.00719,15.3809,16.6466,4.04143,0.199381
"OSM","Boost",666.00575,311.52587,264.16213,1.23052,0.56202
"OSM","PkdTree",4.3235,29.3429,26.3317,0.0718237,0.053741
