"Benchmark","Solver","Build","IND10NN","OOD10NN","Count","List","Ins10%","Ins1%","Ins0.1%","Ins0.01%","IND10NN","OOD10NN","Count","List","Del10%","Del1%","Del0.1%","Del0.01%","IND10NN","OOD10NN","Count","List"
"Uniform","P-Orth",3.23007,0.361613,0.36268,0.0782373,1.14478,4.26782,10.2987,19.743,29.7347,0.381462,0.381563,0.08028,1.04382,4.32335,10.2417,19.5645,29.8677,0.39441,0.397254,0.088525,1.17662
"Uniform","ZdTree",5.47865,0.489399,0.484058,0.142181,1.58795,5.47267,16.4696,25.8022,135.219,0.48444,0.487268,0.146835,1.52783,7.17541,21.4685,32.0462,134.803,0.509809,0.507899,0.137,1.49653
"Uniform","SPaC-H",3.34444,1.93295,1.93021,0.156579,1.16527,3.89754,5.9985,12.9613,26.7705,1.95513,1.96175,0.163445,1.25097,4.68833,14.3899,27.7039,42.2118,1.95187,1.96221,0.160941,1.24368
"Uniform","SPaC-Z",3.10178,9.1298,9.19457,0.229324,1.21784,3.67956,5.74607,12.6449,26.2348,9.21236,9.29352,0.236801,1.306,4.78332,14.1627,27.4197,41.9964,9.12047,9.19748,0.236555,1.30006
"Uniform","CPAM-H",11.3161,2.51705,2.49992,0.216211,1.39098,15.3403,38.2167,108.252,158.734,2.44057,2.43675,0.225375,1.46402,17.2446,38.9785,107.044,156.757,2.43282,2.42568,0.224838,1.45798
"Uniform","CPAM-Z",10.7915,11.8767,11.9321,0.310756,1.45479,14.7053,37.6064,107.881,158.415,11.6118,11.7104,0.326181,1.53705,16.6812,38.4404,106.254,156.594,11.4587,11.5414,0.32546,1.52432
"Uniform","Boost",2268.84512,0.77115,0.78131,0.43274,5.48371,NA,NA,NA,908.32222,11.05193,11.1442,1.49133,7.80757,NA,NA,NA,960.86658,0.77479,0.78306,0.65295,4.60429
"Uniform","PkdTree",3.66259,0.398443,0.397463,0.0965543,1.08118,4.51714,10.635,20.8876,48.8645,0.432673,0.416365,0.102851,1.04652,4.36786,11.1544,22.9679,59.7973,0.410527,0.4116,0.104003,1.07014
"Sweepline","P-Orth",4.63208,0.220373,0.37304,0.097919,1.21666,5.28539,5.66695,5.72078,9.40421,0.226893,0.33256,0.0739563,1.01189,1.92283,3.08388,4.24677,8.73645,0.222395,0.321589,0.0730387,1.02431
"Sweepline","ZdTree",5.85112,0.284295,0.387466,0.141709,1.63602,4.84175,5.61136,14.3639,93.5989,0.291634,0.407362,0.128011,1.4734,5.02077,6.60042,19.7207,108.785,0.296517,0.413779,0.122888,1.45743
"Sweepline","SPaC-H",3.32396,0.854544,0.661111,0.155994,1.19292,2.98497,3.09206,4.119,8.84979,1.04495,0.797347,0.162163,1.2943,2.32152,2.50271,3.23282,8.37139,0.941014,0.765803,0.159205,1.25937
"Sweepline","SPaC-Z",3.03676,1.93918,0.874142,0.213847,1.22575,2.76666,2.83366,3.8289,8.73776,1.7349,1.1602,0.216559,1.32361,2.15501,2.26767,3.00638,9.0861,2.00198,1.05097,0.214845,1.29991
"Sweepline","CPAM-H",10.3458,1.16362,0.764826,0.215989,1.42714,13.5386,10.2484,8.28666,19.4283,1.19073,0.811851,0.227013,1.48449,14.9895,11.0706,8.67268,21.2475,1.18706,0.853156,0.221998,1.48086
"Sweepline","CPAM-Z",9.81176,2.62321,1.03555,0.292451,1.46786,13.1124,9.95501,8.03751,20.4314,2.50011,1.21361,0.308643,1.52705,14.3534,10.7183,8.52026,22.7347,2.70993,1.17705,0.300236,1.54153
"Sweepline","Boost",2811.77453,0.67723,0.68264,0.46156,4.2206,NA,NA,NA,1156.09727,0.92064,0.93091,3.18165,6.10007,NA,NA,NA,438.19969,0.65341,0.65127,0.45539,4.13793
"Sweepline","PkdTree",5.15728,0.243248,0.435053,0.0932553,1.1071,13.7388,23.9734,35.8361,39.9188,0.331408,1.61081,0.108039,1.08503,10.0121,24.3224,36.8315,62.7547,0.262679,0.336628,0.0979257,1.07385
"Varden","P-Orth",12.2424,0.154745,0.279296,0.0540063,1.11582,13.7452,11.4691,12.6321,26.1847,0.160007,0.247087,0.0499697,1.00804,6.7916,8.47719,12.5348,28.3067,0.159677,0.238618,0.049767,1.01302
"Varden","ZdTree",12.09,0.192448,0.153734,0.0855377,1.58115,8.91532,8.22194,14.4706,94.3296,0.196138,0.158016,0.0736327,1.4023,9.42179,9.64267,23.9774,116.6,0.195812,0.152618,0.0726553,1.40562
"Varden","SPaC-H",3.08969,2.23753,0.565426,0.10337,1.15022,2.70701,2.95449,4.17652,9.22566,2.2604,0.493538,0.107286,1.2282,2.21531,2.54323,3.54139,8.21266,2.24834,0.578165,0.105884,1.21905
"Varden","SPaC-Z",2.94116,3.91949,1.01762,0.164582,1.18664,2.52004,2.67742,3.77356,8.73982,3.60609,0.854636,0.17061,1.26878,2.02835,2.27364,3.2642,7.79621,4.30321,2.2907,0.167833,1.26077
"Varden","CPAM-H",10.0111,2.51532,0.662738,0.1455,1.37618,13.321,10.245,8.59405,19.0408,2.47671,0.592334,0.152405,1.445,14.9233,11.2196,9.12212,19.6846,2.55403,0.679829,0.151957,1.42885
